dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.290551,21.724583,0.000625,0.025000,0.500000,10.000000,0.000030
0.050000,3.293216,21.724584,0.003290,0.053309,0.566179,1.323577,0.000176
0.050000,3.299213,21.724586,0.009287,0.119940,1.332623,15.328884,0.000503
0.050000,3.309874,21.724594,0.019948,0.213210,1.865391,10.655356,0.001085
0.050000,3.325862,21.724618,0.035937,0.319773,2.131270,5.317579,0.001956
0.050000,3.347177,21.724672,0.057251,0.426287,2.130275,-0.019895,0.003114
0.050000,3.373813,21.724775,0.083888,0.532734,2.128944,-0.026621,0.004555
0.050000,3.405768,21.724948,0.115843,0.639098,2.127273,-0.033426,0.006277
0.050000,3.443035,21.725219,0.153111,0.745361,2.125256,-0.040327,0.008274
0.050000,3.485608,21.725620,0.195686,0.851505,2.122890,-0.047337,0.010542
0.050000,3.533480,21.726185,0.243561,0.957513,2.120166,-0.054469,0.013075
0.050000,3.586643,21.726954,0.296730,1.063367,2.117079,-0.061733,0.015866
0.050000,3.645087,21.727971,0.355182,1.169048,2.113623,-0.069135,0.018906
0.050000,3.708800,21.729280,0.418909,1.274538,2.109789,-0.076678,0.022189
0.050000,3.777771,21.730932,0.487900,1.379816,2.105571,-0.084362,0.025704
0.050000,3.851986,21.732979,0.562143,1.484864,2.100961,-0.092184,0.029441
0.050000,3.931430,21.735476,0.641626,1.589662,2.095955,-0.100136,0.033389
0.050000,4.016086,21.738480,0.726336,1.694189,2.090544,-0.108206,0.037537
0.050000,4.105937,21.742050,0.816257,1.798426,2.084725,-0.116381,0.041872
0.050000,4.200962,21.746246,0.911375,1.902350,2.078493,-0.124642,0.046379
0.050000,4.301140,21.751131,1.011672,2.005943,2.071845,-0.132969,0.051044
0.050000,4.406448,21.756766,1.117131,2.109181,2.064778,-0.141338,0.055852
0.050000,4.516862,21.763213,1.227733,2.212046,2.057292,-0.149724,0.060787
0.050000,4.632356,21.770536,1.343459,2.314515,2.049387,-0.158099,0.065830
0.050000,4.752902,21.778795,1.464287,2.416569,2.041065,-0.166435,0.070963
0.050000,4.878471,21.788051,1.590197,2.518185,2.032330,-0.174706,0.076168
0.050000,5.009031,21.798362,1.721164,2.619344,2.023186,-0.182883,0.081423
0.050000,5.144552,21.809783,1.857165,2.720026,2.013638,-0.190942,0.086709
0.050000,5.285000,21.822369,1.998176,2.820211,2.003695,-0.198860,0.092003
0.050000,5.430340,21.836168,2.144170,2.919879,1.993365,-0.206619,0.097282
0.050000,5.579891,21.851159,2.294470,3.006010,1.722620,-5.414882,0.102501
0.050000,5.732331,21.867235,2.447755,3.065700,1.193796,-10.576489,0.107596
0.050000,5.886350,21.884257,2.602711,3.099125,0.668489,-10.506145,0.112512
0.050000,6.040649,21.902061,2.758035,3.106468,0.146872,-10.432326,0.117201
0.050000,6.194586,21.920535,2.913076,3.100828,-0.112797,-5.193398,0.121641
0.050000,6.348162,21.939639,3.067835,3.095186,-0.112851,-0.001066,0.125833
0.050000,6.501379,21.959331,3.222313,3.089542,-0.112868,-0.000354,0.129776
0.050000,6.654239,21.979571,3.376508,3.083900,-0.112856,0.000245,0.133471
0.050000,6.806747,22.000319,3.530421,3.078259,-0.112819,0.000738,0.136917
0.050000,6.958907,22.021534,3.684052,3.072621,-0.112763,0.001131,0.140115
0.050000,7.110721,22.043178,3.837401,3.066986,-0.112691,0.001431,0.143065
0.050000,7.262195,22.065209,3.990469,3.061356,-0.112609,0.001645,0.145767
0.050000,7.413333,22.087590,4.143255,3.055730,-0.112520,0.001780,0.148221
0.050000,7.564141,22.110282,4.295761,3.050108,-0.112428,0.001843,0.150427
0.050000,7.714624,22.133245,4.447985,3.044491,-0.112336,0.001840,0.152387
0.050000,7.864786,22.156441,4.599929,3.038879,-0.112247,0.001779,0.154099
0.050000,8.014635,22.179833,4.751593,3.033271,-0.112163,0.001666,0.155564
0.050000,8.164176,22.203382,4.902976,3.027666,-0.112088,0.001507,0.156782
0.050000,8.313414,22.227051,5.054079,3.022065,-0.112023,0.001311,0.157754
0.050000,8.462355,22.250802,5.204902,3.016467,-0.111968,0.001082,0.158479
0.050000,8.611006,22.274599,5.355446,3.010871,-0.111927,0.000828,0.158958
0.050000,8.759372,22.298404,5.505710,3.005276,-0.111899,0.000555,0.159190
0.050000,8.907459,22.322182,5.655694,2.999681,-0.111886,0.000269,0.159176
0.050000,9.055274,22.345894,5.805398,2.994087,-0.111887,-0.000023,0.158916
0.050000,9.202821,22.369506,5.954823,2.988492,-0.111903,-0.000314,0.158409
0.050000,9.350107,22.392981,6.103968,2.982895,-0.111933,-0.000599,0.157656
0.050000,9.497137,22.416283,6.252832,2.977296,-0.111976,-0.000870,0.156656
0.050000,9.643916,22.439376,6.401417,2.971695,-0.112032,-0.001121,0.155410
0.050000,9.790450,22.462225,6.549722,2.966090,-0.112100,-0.001347,0.153916
0.050000,9.936743,22.484794,6.697746,2.960481,-0.112177,-0.001540,0.152176
0.050000,10.082801,22.507048,6.845489,2.954868,-0.112261,-0.001693,0.150189
0.050000,10.228627,22.528952,6.992952,2.949250,-0.112351,-0.001801,0.147954
0.050000,10.374227,22.550472,7.140133,2.943628,-0.112444,-0.001856,0.145471
