dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.290030,14.135417,0.000005,0.001000,0.100000,10.000000,6.283159
0.010000,3.290024,14.135417,0.000011,0.000598,-0.040246,-14.024588,6.283164
0.010000,3.290011,14.135417,0.000024,0.001344,0.074693,11.493931,6.283176
0.010000,3.290030,14.135417,0.000044,0.001932,0.058793,-1.590091,0.000011
0.010000,3.290118,14.135417,0.000131,0.008765,0.683276,62.448383,0.000044
0.010000,3.290244,14.135417,0.000258,0.012622,0.385637,-29.763907,0.000092
0.010000,3.290416,14.135417,0.000429,0.017179,0.455723,7.008533,0.000156
0.010000,3.290640,14.135417,0.000654,0.022437,0.525783,7.006012,0.000240
0.010000,3.290924,14.135417,0.000938,0.028395,0.595814,7.003110,0.000347
0.010000,3.291275,14.135417,0.001288,0.035053,0.665805,6.999072,0.000479
0.010000,3.291699,14.135417,0.001712,0.042410,0.735752,6.994717,0.000638
0.010000,3.292204,14.135418,0.002217,0.050467,0.805632,6.987995,0.000828
0.010000,3.292796,14.135418,0.002809,0.059221,0.875445,6.981314,0.001050
0.010000,3.293483,14.135419,0.003496,0.068673,0.945174,6.972897,0.001309
0.010000,3.294271,14.135420,0.004284,0.078821,1.014803,6.962883,0.001605
0.010000,3.295167,14.135422,0.005181,0.089664,1.084322,6.951971,0.001943
0.010000,3.296179,14.135424,0.006193,0.101201,1.153710,6.938799,0.002324
0.010000,3.297314,14.135427,0.007327,0.113431,1.222950,6.923933,0.002752
0.010000,3.298577,14.135430,0.008591,0.126351,1.292030,6.908043,0.003229
0.010000,3.299977,14.135435,0.009990,0.139960,1.360924,6.889353,0.003758
0.010000,3.301516,14.135442,0.011529,0.153907,1.394640,3.371636,0.004340
0.010000,3.303194,14.135449,0.013208,0.167839,1.393226,-0.141378,0.004975
0.010000,3.305012,14.135459,0.015025,0.181756,1.391683,-0.154335,0.005664
0.010000,3.306968,14.135471,0.016982,0.195656,1.390013,-0.166989,0.006407
0.010000,3.309064,14.135485,0.019077,0.209538,1.388214,-0.179906,0.007204
0.010000,3.311298,14.135502,0.021311,0.223401,1.386291,-0.192315,0.008055
0.010000,3.313670,14.135522,0.023684,0.237243,1.384241,-0.204994,0.008960
0.010000,3.316180,14.135546,0.026194,0.251064,1.382065,-0.217624,0.009919
0.010000,3.318829,14.135574,0.028843,0.264862,1.379763,-0.230199,0.010933
0.010000,3.321615,14.135606,0.031629,0.278635,1.377335,-0.242713,0.012002
0.010000,3.324539,14.135642,0.034553,0.292383,1.374784,-0.255161,0.013126
0.010000,3.327599,14.135684,0.037614,0.306104,1.372112,-0.267184,0.014305
0.010000,3.330797,14.135732,0.040812,0.319797,1.369313,-0.279870,0.015540
0.010000,3.334131,14.135786,0.044147,0.333461,1.366395,-0.291879,0.016831
0.010000,3.337602,14.135847,0.047618,0.347094,1.363354,-0.304083,0.018178
0.010000,3.341208,14.135915,0.051225,0.360696,1.360196,-0.315792,0.019581
0.010000,3.344950,14.135991,0.054967,0.374266,1.356913,-0.328240,0.021040
0.010000,3.348827,14.136075,0.058845,0.387801,1.353517,-0.339669,0.022557
0.010000,3.352839,14.136169,0.062858,0.401301,1.350005,-0.351171,0.024131
0.010000,3.356985,14.136273,0.067006,0.414765,1.346374,-0.363051,0.025762
0.010000,3.361266,14.136386,0.071288,0.428191,1.342631,-0.374342,0.027451
0.010000,3.365680,14.136512,0.075704,0.441579,1.338776,-0.385491,0.029199
0.010000,3.370227,14.136648,0.080253,0.454927,1.334811,-0.396534,0.031005
0.010000,3.374907,14.136798,0.084935,0.468234,1.330737,-0.407385,0.032870
0.010000,3.379719,14.136961,0.089750,0.481500,1.326557,-0.418027,0.034795
0.010000,3.384663,14.137138,0.094697,0.494722,1.322272,-0.428446,0.036779
0.010000,3.389738,14.137330,0.099776,0.507901,1.317886,-0.438624,0.038823
0.010000,3.394945,14.137537,0.104987,0.521035,1.313401,-0.448543,0.040928
0.010000,3.400281,14.137762,0.110328,0.534123,1.308819,-0.458151,0.043093
0.010000,3.405747,14.138004,0.115800,0.547165,1.304145,-0.467406,0.045320
0.010000,3.411343,14.138264,0.121401,0.560159,1.299378,-0.476659,0.047608
0.010000,3.417067,14.138543,0.127132,0.573104,1.294526,-0.485226,0.049959
0.010000,3.422920,14.138843,0.132992,0.586000,1.289591,-0.493542,0.052372
0.010000,3.428899,14.139164,0.138981,0.598846,1.284579,-0.501148,0.054849
0.010000,3.435006,14.139507,0.145097,0.611640,1.279488,-0.509075,0.057388
0.010000,3.441239,14.139873,0.151341,0.624384,1.274329,-0.515899,0.059992
0.010000,3.447598,14.140264,0.157712,0.637075,1.269106,-0.522385,0.062660
0.010000,3.454082,14.140679,0.164209,0.649713,1.263822,-0.528410,0.065393
0.010000,3.460690,14.141121,0.170832,0.662298,1.258481,-0.534097,0.068191
0.010000,3.467422,14.141591,0.177580,0.674829,1.253093,-0.538767,0.071055
0.010000,3.474277,14.142089,0.184453,0.687305,1.247662,-0.543088,0.073985
0.010000,3.481254,14.142616,0.191450,0.699727,1.242194,-0.546762,0.076982
0.010000,3.488353,14.143175,0.198571,0.712094,1.236697,-0.549749,0.080046
