dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.289970,11.864583,0.000005,0.001000,0.100000,10.000000,6.283159
0.010000,3.289976,11.864583,0.000011,0.000598,-0.040246,-14.024588,6.283164
0.010000,3.289989,11.864583,0.000024,0.001344,0.074693,11.493931,6.283176
0.010000,3.290056,11.864583,0.000092,0.006713,0.536836,46.214267,0.000011
0.010000,3.290218,11.864583,0.000254,0.016235,0.952200,41.536387,0.000044
0.010000,3.290452,11.864583,0.000488,0.023378,0.714362,-23.783840,0.000092
0.010000,3.290770,11.864583,0.000806,0.031821,0.844280,12.991799,0.000156
0.010000,3.291186,11.864583,0.001222,0.041563,0.974216,12.993658,0.000240
0.010000,3.291712,11.864584,0.001748,0.052605,1.104186,12.996958,0.000347
0.010000,3.292362,11.864584,0.002397,0.064947,1.234192,13.000606,0.000479
0.010000,3.293148,11.864584,0.003183,0.078590,1.364256,13.006428,0.000638
0.010000,3.294083,11.864585,0.004118,0.093533,1.494365,13.010928,0.000828
0.010000,3.295181,11.864586,0.005216,0.109779,1.624554,13.018873,0.001050
0.010000,3.296454,11.864588,0.006489,0.127327,1.754827,13.027274,0.001309
0.010000,3.297916,11.864590,0.007951,0.146179,1.885194,13.036691,0.001605
0.010000,3.299579,11.864593,0.009614,0.166336,2.015681,13.048723,0.001943
0.010000,3.301457,11.864597,0.011492,0.187799,2.146292,13.061142,0.002324
0.010000,3.303563,11.864602,0.013598,0.210569,2.277045,13.075300,0.002752
0.010000,3.305909,11.864609,0.015945,0.234649,2.407973,13.092733,0.003229
0.010000,3.308510,11.864618,0.018545,0.260040,2.539077,13.110442,0.003758
0.010000,3.311371,11.864630,0.021406,0.286093,2.605357,6.627968,0.004340
0.010000,3.314492,11.864644,0.024528,0.312161,2.606775,0.141807,0.004975
0.010000,3.317875,11.864662,0.027910,0.338244,2.608317,0.154222,0.005664
0.010000,3.321518,11.864684,0.031553,0.364344,2.609988,0.167121,0.006407
0.010000,3.325422,11.864711,0.035458,0.390462,2.611783,0.179439,0.007204
0.010000,3.329588,11.864743,0.039624,0.416599,2.613709,0.192599,0.008055
0.010000,3.334016,11.864780,0.044052,0.442757,2.615760,0.205142,0.008960
0.010000,3.338705,11.864824,0.048741,0.468936,2.617937,0.217648,0.009919
0.010000,3.343656,11.864876,0.053692,0.495138,2.620238,0.230114,0.010933
0.010000,3.348869,11.864936,0.058906,0.521365,2.622663,0.242535,0.012002
0.010000,3.354345,11.865005,0.064382,0.547617,2.625212,0.254906,0.013126
0.010000,3.360083,11.865083,0.070121,0.573896,2.627891,0.267881,0.014305
0.010000,3.366085,11.865173,0.076123,0.600203,2.630685,0.279400,0.015540
0.010000,3.372349,11.865274,0.082389,0.626539,2.633605,0.291956,0.016831
0.010000,3.378877,11.865389,0.088918,0.652905,2.636643,0.303890,0.018178
0.010000,3.385669,11.865517,0.095711,0.679304,2.639808,0.316474,0.019581
0.010000,3.392725,11.865660,0.102768,0.705734,2.643082,0.327361,0.021040
0.010000,3.400045,11.865820,0.110090,0.732199,2.646480,0.339831,0.022557
0.010000,3.407630,11.865997,0.117677,0.758699,2.649998,0.351801,0.024131
0.010000,3.415480,11.866193,0.125529,0.785235,2.653625,0.362657,0.025762
0.010000,3.423595,11.866409,0.133647,0.811809,2.657367,0.374191,0.027451
0.010000,3.431976,11.866646,0.142032,0.838421,2.661222,0.385524,0.029199
0.010000,3.440623,11.866907,0.150682,0.865073,2.665187,0.396549,0.031005
0.010000,3.449536,11.867191,0.159600,0.891766,2.669261,0.407386,0.032870
0.010000,3.458716,11.867502,0.168785,0.918500,2.673441,0.418019,0.034795
0.010000,3.468163,11.867840,0.178238,0.945277,2.677726,0.428430,0.036779
0.010000,3.477877,11.868208,0.187959,0.972099,2.682112,0.438600,0.038823
0.010000,3.487858,11.868606,0.197948,0.998964,2.686597,0.448510,0.040928
0.010000,3.498108,11.869037,0.208207,1.025876,2.691179,0.458203,0.043093
0.010000,3.508626,11.869502,0.218736,1.052835,2.695856,0.467699,0.045320
0.010000,3.519413,11.870003,0.229534,1.079841,2.700618,0.476256,0.047608
0.010000,3.530469,11.870543,0.240603,1.106896,2.705470,0.485122,0.049959
0.010000,3.541794,11.871123,0.251943,1.134000,2.710403,0.493386,0.052372
0.010000,3.553389,11.871745,0.263555,1.161154,2.715422,0.501865,0.054849
0.010000,3.565254,11.872412,0.275438,1.188359,2.720507,0.508474,0.057388
0.010000,3.577389,11.873125,0.287594,1.215616,2.725666,0.515889,0.059992
0.010000,3.589795,11.873887,0.300024,1.242925,2.730891,0.522539,0.062660
0.010000,3.602472,11.874699,0.312726,1.270286,2.736177,0.528568,0.065393
0.010000,3.615420,11.875566,0.325703,1.297702,2.741513,0.533635,0.068191
0.010000,3.628639,11.876487,0.338955,1.325171,2.746903,0.538963,0.071055
0.010000,3.642131,11.877468,0.352482,1.352694,2.752334,0.543138,0.073985
0.010000,3.655894,11.878508,0.366285,1.380272,2.757800,0.546628,0.076982
0.010000,3.669930,11.879613,0.380364,1.407905,2.763294,0.549391,0.080046
0.010000,3.684238,11.880783,0.394720,1.435593,2.768820,0.552539,0.083178
