dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.290693,14.135417,0.000625,0.025000,0.500000,10.000000,6.283042
0.050000,3.293960,14.135415,0.003892,0.065331,0.806624,6.132470,6.282367
0.050000,3.301311,14.135403,0.011243,0.147028,1.633941,16.546358,6.280846
0.050000,3.314386,14.135355,0.024318,0.261496,2.289357,13.108311,6.278138
0.050000,3.334011,14.135216,0.043943,0.392512,2.620314,6.619147,6.274064
0.050000,3.360201,14.134906,0.070135,0.523842,2.626602,0.125755,6.268611
0.050000,3.392975,14.134316,0.102914,0.655579,2.634749,0.162932,6.261760
0.050000,3.432353,14.133309,0.142305,0.787806,2.644532,0.195658,6.253489
0.050000,3.478354,14.131719,0.188334,0.920588,2.655647,0.222304,6.243775
0.050000,3.531000,14.129349,0.241033,1.053973,2.667695,0.240961,6.232591
0.050000,3.590303,14.125969,0.300432,1.187981,2.680160,0.249309,6.219908
0.050000,3.656269,14.121319,0.366562,1.322601,2.692392,0.244627,6.205702
0.050000,3.728893,14.115105,0.439451,1.457780,2.703582,0.223812,6.189946
0.050000,3.808150,14.107002,0.519122,1.593417,2.712751,0.183371,6.172620
0.050000,3.893996,14.096649,0.605589,1.729354,2.718730,0.119582,6.153711
0.050000,3.986355,14.083661,0.698857,1.865362,2.720165,0.028714,6.133217
0.050000,4.085118,14.067621,0.798914,2.001139,2.715532,-0.092675,6.111147
0.050000,4.190133,14.048095,0.905729,2.136297,2.703170,-0.247231,6.087528
0.050000,4.301199,14.024628,1.019248,2.270365,2.681358,-0.436247,6.062408
0.050000,4.418063,13.996765,1.139387,2.402785,2.648410,-0.658951,6.035860
0.050000,4.540411,13.964051,1.266033,2.532926,2.602818,-0.911851,6.007985
0.050000,4.667871,13.926049,1.399038,2.660097,2.543411,-1.188138,5.978912
0.050000,4.800013,13.882353,1.538217,2.783574,2.469537,-1.477470,5.948805
0.050000,4.936351,13.832601,1.683348,2.902635,2.381229,-1.766165,5.917858
0.050000,5.076356,13.776492,1.834178,3.016601,2.279325,-2.038072,5.886296
0.050000,5.219468,13.713794,1.990422,3.124878,2.165522,-2.276071,5.854369
0.050000,5.365110,13.644352,2.151772,3.226993,2.042317,-2.464091,5.822349
0.050000,5.512709,13.568100,2.317904,3.322636,1.912851,-2.589335,5.790520
0.050000,5.661713,13.485055,2.488487,3.411668,1.780637,-2.644267,5.759174
0.050000,5.811611,13.395317,2.663194,3.494130,1.649242,-2.627911,5.728601
0.050000,5.961311,13.299484,2.840941,3.554947,1.216333,-8.658166,5.699203
0.050000,6.109258,13.198698,3.019956,3.580294,0.506945,-14.187762,5.671442
0.050000,6.254137,13.094216,3.198579,3.572456,-0.156756,-13.274023,5.645678
0.050000,6.394856,12.987368,3.375266,3.533758,-0.773955,-12.343982,5.622170
0.050000,6.531082,12.879050,3.549307,3.480813,-1.058907,-5.699038,5.600993
0.050000,6.663114,12.769678,3.720755,3.428967,-1.036925,0.439634,5.582101
0.050000,6.791262,12.659625,3.889675,3.378381,-1.011706,0.504383,5.565437
0.050000,6.915836,12.549223,4.056130,3.329116,-0.985302,0.528084,5.550942
0.050000,7.037143,12.438771,4.220188,3.281149,-0.959341,0.519220,5.538560
0.050000,7.155478,12.328544,4.381908,3.234395,-0.935080,0.485211,5.528238
0.050000,7.271124,12.218790,4.541344,3.188722,-0.913467,0.432272,5.519927
0.050000,7.384352,12.109745,4.698542,3.143962,-0.895195,0.365438,5.513587
0.050000,7.495414,12.001630,4.853538,3.099924,-0.880760,0.288704,5.509186
0.050000,7.604549,11.894656,5.006358,3.056399,-0.870499,0.205200,5.506703
0.050000,7.711979,11.789030,5.157016,3.013168,-0.864630,0.117397,5.506123
0.050000,7.817909,11.684956,5.305517,2.970005,-0.863264,0.027310,5.507444
0.050000,7.922525,11.582638,5.451851,2.926683,-0.866429,-0.063301,5.510672
0.050000,8.026001,11.482280,5.596000,2.882980,-0.874066,-0.152735,5.515825
0.050000,8.128490,11.384090,5.737934,2.838679,-0.886024,-0.239156,5.522929
0.050000,8.230128,11.288279,5.877612,2.793576,-0.902043,-0.320394,5.532019
0.050000,8.331037,11.195063,6.014987,2.747490,-0.921731,-0.393745,5.543138
0.050000,8.431316,11.104661,6.150000,2.700264,-0.944519,-0.455763,5.556336
0.050000,8.531051,11.017295,6.282589,2.651783,-0.969622,-0.502065,5.571670
0.050000,8.630308,10.933188,6.412688,2.601984,-0.995980,-0.527161,5.589195
0.050000,8.729134,10.852561,6.540232,2.550874,-1.022198,-0.524356,5.608972
0.050000,8.827565,10.775630,6.665160,2.498550,-1.046487,-0.485775,5.631052
0.050000,8.925618,10.702601,6.787421,2.445219,-1.066617,-0.402602,5.655480
0.050000,9.023303,10.633663,6.906982,2.391224,-1.079899,-0.265641,5.682285
0.050000,9.120624,10.568984,7.023835,2.337063,-1.083214,-0.066300,5.711475
0.050000,9.217563,10.508721,7.137979,2.282872,-1.083832,-0.012373,5.743019
0.050000,9.313709,10.453215,7.248996,2.220357,-1.250301,-3.329371,5.776703
0.050000,9.408295,10.402882,7.356141,2.142898,-1.549173,-5.977434,5.812084
0.050000,9.500588,10.357951,7.458790,2.052972,-1.798513,-4.986797,5.848609
0.050000,9.589905,10.318467,7.556445,1.953102,-1.997414,-3.978033,5.885648
0.050000,9.675981,10.284171,7.649102,1.853147,-1.999083,-0.033385,5.922685
0.050000,9.758934,10.254615,7.737163,1.761211,-1.838724,3.207190,5.959367
0.050000,9.838875,10.229370,7.820995,1.676648,-1.691266,2.949165,5.995370
0.050000,9.915902,10.208023,7.900925,1.598601,-1.560939,2.606540,6.030406
0.050000,9.990092,10.190191,7.977229,1.526074,-1.450543,2.207913,6.064233
0.050000,10.061500,10.175512,8.050129,1.458006,-1.361352,1.783823,6.096655
0.050000,10.130150,10.163651,8.119797,1.393345,-1.293227,1.362504,6.127520
0.050000,10.196044,10.154296,8.186352,1.331101,-1.244884,0.966857,6.156723
0.050000,10.259161,10.147153,8.249871,1.270389,-1.214232,0.613031,6.184196
0.050000,10.319459,10.141949,8.310394,1.210453,-1.198716,0.310321,6.209906
0.050000,10.376885,10.138426,8.367927,1.150673,-1.195611,0.062097,6.233844
0.050000,10.431373,10.136344,8.422455,1.090560,-1.202253,-0.132829,6.256026
0.050000,10.482853,10.135474,8.473943,1.029751,-1.216187,-0.278684,6.276483
0.050000,10.544953,10.135417,8.536043,1.242001,4.245014,109.224022,0.000000
0.050000,10.609668,10.135417,8.600758,1.294303,1.046027,-63.979732,0.000000
0.050000,10.669384,10.135417,8.660473,1.194303,-2.000000,-60.920547,0.000000
0.050000,10.724099,10.135417,8.715188,1.094303,-2.000000,0.000000,0.000000
0.050000,10.773814,10.135417,8.764903,0.994303,-2.000000,0.000000,0.000000
0.050000,10.818529,10.135417,8.809619,0.894303,-2.000000,-0.000000,0.000000
0.050000,10.858244,10.135417,8.849334,0.794303,-2.000000,-0.000000,0.000000
0.050000,10.892959,10.135417,8.884049,0.694303,-2.000000,-0.000000,0.000000
0.050000,10.922674,10.135417,8.913764,0.594303,-2.000000,0.000000,0.000000
0.050000,10.947389,10.135417,8.938479,0.494303,-2.000000,0.000000,0.000000
0.050000,10.967105,10.135417,8.958194,0.394303,-2.000000,-0.000000,0.000000
0.050000,10.981820,10.135417,8.972909,0.294303,-2.000000,0.000000,0.000000
0.050000,10.991570,10.135417,8.982660,0.195015,-1.985757,0.284864,0.000000
0.050000,10.997017,10.135417,8.988107,0.108939,-1.721514,5.284864,0.000000
0.050000,10.999411,10.135417,8.990500,0.047864,-1.221514,10.000000,0.000000
0.050000,11.000000,10.135417,8.991090,0.011788,-0.721514,10.000000,0.000000
0.050000,11.000000,10.135417,8.991090,0.000000,-0.235757,9.715136,0.000000
