dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.289987,5.635417,0.000005,0.001000,0.100000,10.000000,0.000012
0.010000,3.289991,5.635417,0.000009,0.000412,-0.058825,-15.882523,0.000008
0.010000,3.290000,5.635417,0.000018,0.000926,0.051468,11.029308,0.000000
0.010000,3.290096,5.635417,0.000114,0.009602,0.867522,81.605379,6.283171
0.010000,3.290247,5.635417,0.000265,0.015073,0.547169,-32.035245,6.283148
0.010000,3.290464,5.635417,0.000482,0.021706,0.663218,11.604859,6.283116
0.010000,3.290759,5.635417,0.000778,0.029543,0.783792,12.057449,6.283071
0.010000,3.291145,5.635417,0.001163,0.038587,0.904361,12.056890,6.283013
0.010000,3.291633,5.635416,0.001652,0.048836,1.024919,12.055777,6.282940
0.010000,3.292236,5.635416,0.002255,0.060291,1.145466,12.054685,6.282849
0.010000,3.292966,5.635416,0.002984,0.072951,1.265997,12.053083,6.282739
0.010000,3.293834,5.635416,0.003852,0.086816,1.386510,12.051304,6.282609
0.010000,3.294853,5.635415,0.004871,0.101886,1.507000,12.049002,6.282456
0.010000,3.296034,5.635414,0.006053,0.118161,1.627463,12.046381,6.282278
0.010000,3.297391,5.635413,0.007409,0.135640,1.747897,12.043308,6.282074
0.010000,3.298934,5.635411,0.008953,0.154322,1.868294,12.039733,6.281843
0.010000,3.300676,5.635408,0.010695,0.174209,1.988650,12.035589,6.281581
0.010000,3.302629,5.635405,0.012648,0.195299,2.108959,12.030957,6.281288
0.010000,3.304805,5.635400,0.014824,0.217591,2.229216,12.025693,6.280961
0.010000,3.307216,5.635394,0.017234,0.241085,2.349414,12.019757,6.280599
0.010000,3.309868,5.635387,0.019886,0.265178,2.409280,5.986562,6.280201
0.010000,3.312760,5.635378,0.022779,0.289266,2.408827,-0.045258,6.279767
0.010000,3.315894,5.635366,0.025912,0.313349,2.408330,-0.049676,6.279298
0.010000,3.319268,5.635352,0.029287,0.337427,2.407790,-0.053980,6.278792
0.010000,3.322883,5.635335,0.032902,0.361499,2.407205,-0.058501,6.278250
0.010000,3.326739,5.635315,0.036757,0.385565,2.406575,-0.062990,6.277673
0.010000,3.330835,5.635291,0.040853,0.409624,2.405900,-0.067503,6.277059
0.010000,3.335171,5.635264,0.045190,0.433676,2.405178,-0.072225,6.276411
0.010000,3.339748,5.635231,0.049767,0.457720,2.404409,-0.076936,6.275726
0.010000,3.344566,5.635193,0.054585,0.481756,2.403591,-0.081732,6.275006
0.010000,3.349624,5.635150,0.059643,0.505783,2.402725,-0.086638,6.274250
0.010000,3.354921,5.635101,0.064941,0.529801,2.401810,-0.091539,6.273460
0.010000,3.360459,5.635044,0.070479,0.553810,2.400842,-0.096783,6.272633
0.010000,3.366237,5.634981,0.076257,0.577808,2.399824,-0.101746,6.271772
0.010000,3.372254,5.634910,0.082275,0.601795,2.398753,-0.107186,6.270875
0.010000,3.378512,5.634830,0.088533,0.625772,2.397628,-0.112478,6.269944
0.010000,3.385008,5.634740,0.095030,0.649736,2.396448,-0.117973,6.268977
0.010000,3.391744,5.634641,0.101767,0.673688,2.395212,-0.123578,6.267976
0.010000,3.398720,5.634532,0.108743,0.697627,2.393920,-0.129228,6.266940
0.010000,3.405934,5.634411,0.115959,0.721553,2.392568,-0.135153,6.265870
0.010000,3.413388,5.634277,0.123413,0.745465,2.391159,-0.140998,6.264764
0.010000,3.421080,5.634131,0.131107,0.769362,2.389687,-0.147151,6.263625
0.010000,3.429011,5.633971,0.139039,0.793243,2.388154,-0.153291,6.262452
0.010000,3.437180,5.633797,0.147210,0.817109,2.386558,-0.159628,6.261244
0.010000,3.445588,5.633607,0.155620,0.840958,2.384897,-0.166096,6.260003
0.010000,3.454233,5.633401,0.164268,0.864789,2.383170,-0.172697,6.258727
0.010000,3.463116,5.633178,0.173154,0.888603,2.381376,-0.179411,6.257419
0.010000,3.472237,5.632937,0.182278,0.912398,2.379513,-0.186254,6.256076
0.010000,3.481595,5.632677,0.191640,0.936174,2.377580,-0.193330,6.254701
0.010000,3.491190,5.632397,0.201239,0.959930,2.375575,-0.200445,6.253292
0.010000,3.501022,5.632096,0.211076,0.983665,2.373498,-0.207710,6.251851
0.010000,3.511091,5.631773,0.221149,1.007378,2.371346,-0.215207,6.250377
0.010000,3.521396,5.631427,0.231460,1.031069,2.369118,-0.222786,6.248870
0.010000,3.531937,5.631057,0.242007,1.054738,2.366814,-0.230489,6.247331
0.010000,3.542713,5.630662,0.252791,1.078382,2.364429,-0.238428,6.245760
0.010000,3.553725,5.630241,0.263811,1.102001,2.361965,-0.246466,6.244157
0.010000,3.564972,5.629792,0.275067,1.125596,2.359419,-0.254590,6.242522
0.010000,3.576454,5.629315,0.286559,1.149164,2.356788,-0.263027,6.240856
0.010000,3.588170,5.628809,0.298286,1.172704,2.354074,-0.271406,6.239159
0.010000,3.600120,5.628272,0.310248,1.196217,2.351273,-0.280159,6.237431
