dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.290013,3.364583,0.000005,0.001000,0.100000,10.000000,0.000012
0.010000,3.290009,3.364583,0.000009,0.000412,-0.058825,-15.882523,0.000008
0.010000,3.290000,3.364583,0.000018,0.000926,0.051468,11.029308,0.000000
0.010000,3.290063,3.364583,0.000081,0.006308,0.538129,48.666143,6.283171
0.010000,3.290162,3.364583,0.000181,0.009927,0.361895,-17.623465,6.283148
0.010000,3.290305,3.364583,0.000324,0.014294,0.436783,7.488797,6.283116
0.010000,3.290500,3.364583,0.000518,0.019457,0.516207,7.942444,6.283071
0.010000,3.290754,3.364583,0.000772,0.025413,0.595640,7.943256,6.283013
0.010000,3.291076,3.364583,0.001094,0.032164,0.675081,7.944094,6.282940
0.010000,3.291473,3.364583,0.001491,0.039709,0.754534,7.945391,6.282849
0.010000,3.291953,3.364583,0.001972,0.048049,0.834003,7.946857,6.282739
0.010000,3.292525,3.364583,0.002543,0.057184,0.913491,7.948767,6.282609
0.010000,3.293196,3.364582,0.003215,0.067114,0.993000,7.950955,6.282456
0.010000,3.293975,3.364582,0.003993,0.077839,1.072536,7.953612,6.282278
0.010000,3.294868,3.364581,0.004887,0.089360,1.152103,7.956714,6.282074
0.010000,3.295885,3.364579,0.005903,0.101678,1.231706,7.960290,6.281843
0.010000,3.297033,3.364578,0.007051,0.114791,1.311350,7.964361,6.281581
0.010000,3.298320,3.364575,0.008338,0.128701,1.391040,7.969046,6.281288
0.010000,3.299754,3.364572,0.009772,0.143409,1.470784,7.974321,6.280961
0.010000,3.301343,3.364569,0.011362,0.158915,1.550586,7.980229,6.280599
0.010000,3.303091,3.364564,0.013110,0.174822,1.590720,4.013417,6.280201
0.010000,3.304999,3.364558,0.015017,0.190734,1.591173,0.045332,6.279767
0.010000,3.307065,3.364550,0.017084,0.206651,1.591670,0.049605,6.279298
0.010000,3.309291,3.364541,0.019309,0.222573,1.592210,0.054045,6.278792
0.010000,3.311676,3.364530,0.021694,0.238501,1.592794,0.058440,6.278250
0.010000,3.314220,3.364517,0.024239,0.254435,1.593424,0.062963,6.277673
0.010000,3.316924,3.364501,0.026942,0.270376,1.594100,0.067582,6.277059
0.010000,3.319787,3.364482,0.029806,0.286324,1.594822,0.072184,6.276411
0.010000,3.322810,3.364461,0.032828,0.302280,1.595591,0.076920,6.275726
0.010000,3.325992,3.364436,0.036011,0.318244,1.596408,0.081734,6.275006
0.010000,3.329334,3.364407,0.039353,0.334217,1.597274,0.086616,6.274250
0.010000,3.332836,3.364375,0.042855,0.350199,1.598191,0.091648,6.273460
0.010000,3.336498,3.364338,0.046517,0.366190,1.599157,0.096608,6.272633
0.010000,3.340320,3.364296,0.050339,0.382192,1.600176,0.101914,6.271772
0.010000,3.344301,3.364248,0.054321,0.398205,1.601247,0.107071,6.270875
0.010000,3.348443,3.364195,0.058463,0.414228,1.602372,0.112499,6.269944
0.010000,3.352745,3.364136,0.062766,0.430264,1.603551,0.117972,6.268977
0.010000,3.357208,3.364071,0.067229,0.446312,1.604787,0.123556,6.267976
0.010000,3.361831,3.363998,0.071853,0.462373,1.606080,0.129300,6.266940
0.010000,3.366615,3.363918,0.076637,0.478447,1.607431,0.135058,6.265870
0.010000,3.371560,3.363829,0.081583,0.494535,1.608841,0.141070,6.264764
0.010000,3.376665,3.363732,0.086689,0.510638,1.610312,0.147083,6.263625
0.010000,3.381932,3.363626,0.091956,0.526757,1.611845,0.153317,6.262452
0.010000,3.387359,3.363510,0.097385,0.542891,1.613442,0.159635,6.261244
0.010000,3.392948,3.363384,0.102976,0.559042,1.615102,0.166086,6.260003
0.010000,3.398699,3.363247,0.108728,0.575211,1.616829,0.172672,6.258727
0.010000,3.404611,3.363099,0.114642,0.591397,1.618623,0.179413,6.257419
0.010000,3.410685,3.362938,0.120718,0.607602,1.620486,0.186298,6.256076
0.010000,3.416921,3.362765,0.126956,0.623826,1.622419,0.193264,6.254701
0.010000,3.423319,3.362578,0.133357,0.640070,1.624423,0.200442,6.253292
0.010000,3.429879,3.362377,0.139920,0.656335,1.626501,0.207761,6.251851
0.010000,3.436602,3.362161,0.146646,0.672622,1.628653,0.215169,6.250377
0.010000,3.443487,3.361930,0.153536,0.688930,1.630880,0.222769,6.248870
0.010000,3.450535,3.361683,0.160588,0.705262,1.633186,0.230532,6.247331
0.010000,3.457747,3.361418,0.167805,0.721618,1.635570,0.238388,6.245760
0.010000,3.465121,3.361136,0.175185,0.737998,1.638034,0.246428,6.244157
0.010000,3.472659,3.360836,0.182729,0.754404,1.640580,0.254662,6.242522
0.010000,3.480361,3.360516,0.190437,0.770836,1.643210,0.262938,6.240856
0.010000,3.488227,3.360176,0.198310,0.787296,1.645925,0.271504,6.239159
0.010000,3.496256,3.359816,0.206348,0.803783,1.648726,0.280072,6.237431
0.010000,3.504450,3.359433,0.214551,0.820299,1.651615,0.288904,6.235672
0.010000,3.512809,3.359028,0.222919,0.836845,1.654593,0.297842,6.233883
0.010000,3.521333,3.358600,0.231453,0.853421,1.657662,0.306929,6.232064
0.010000,3.530021,3.358147,0.240154,0.870030,1.660824,0.316164,6.230214
0.010000,3.538875,3.357670,0.249020,0.886670,1.664079,0.325544,6.228335
0.010000,3.547894,3.357166,0.258054,0.903345,1.667430,0.335069,6.226427
0.010000,3.557079,3.356635,0.267254,0.920054,1.670878,0.344771,6.224490
0.010000,3.566431,3.356076,0.276622,0.936798,1.674423,0.354523,6.222524
0.010000,3.575948,3.355489,0.286158,0.953578,1.678068,0.364513,6.220530
0.010000,3.585633,3.354871,0.295862,0.970397,1.681814,0.374569,6.218508
0.010000,3.595484,3.354223,0.305735,0.987253,1.685662,0.384810,6.216458
0.010000,3.605502,3.353543,0.315776,1.004149,1.689613,0.395107,6.214381
0.010000,3.615688,3.352830,0.325987,1.021086,1.693669,0.405600,6.212277
0.010000,3.626042,3.352084,0.336368,1.038064,1.697831,0.416185,6.210146
0.010000,3.636564,3.351302,0.346918,1.055085,1.702100,0.426880,6.207989
0.010000,3.647254,3.350485,0.357640,1.072150,1.706477,0.437682,6.205806
0.010000,3.658113,3.349631,0.368533,1.089260,1.710963,0.448608,6.203598
0.010000,3.669142,3.348739,0.379597,1.106415,1.715559,0.459633,6.201364
0.010000,3.680339,3.347808,0.390833,1.123618,1.720266,0.470748,6.199106
0.010000,3.691706,3.346837,0.402242,1.140869,1.725086,0.481945,6.196824
0.010000,3.703244,3.345825,0.413823,1.158169,1.730018,0.493242,6.194518
0.010000,3.714952,3.344770,0.425578,1.175520,1.735064,0.504618,6.192188
0.010000,3.726830,3.343672,0.437508,1.192922,1.740225,0.516075,6.189836
0.010000,3.738880,3.342530,0.449611,1.210377,1.745501,0.527543,6.187462
0.010000,3.751101,3.341342,0.461890,1.227886,1.750892,0.539162,6.185065
0.010000,3.763494,3.340107,0.474345,1.245450,1.756400,0.550734,6.182647
0.010000,3.776060,3.338823,0.486976,1.263070,1.762024,0.562446,6.180208
0.010000,3.788798,3.337491,0.499783,1.280748,1.767765,0.574100,6.177748
0.010000,3.801709,3.336109,0.512768,1.298484,1.773624,0.585873,6.175269
0.010000,3.814793,3.334675,0.525931,1.316280,1.779600,0.597602,6.172770
0.010000,3.828051,3.333188,0.539272,1.334137,1.785694,0.609367,6.170253
0.010000,3.841484,3.331647,0.552793,1.352056,1.791905,0.621147,6.167717
0.010000,3.855091,3.330051,0.566493,1.370038,1.798234,0.632917,6.165163
0.010000,3.868873,3.328399,0.580374,1.388085,1.804681,0.644669,6.162592
