dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.290525,5.135417,0.000625,0.025000,0.500000,10.000000,0.000000
0.050000,3.293025,5.135417,0.003125,0.050000,0.500000,-0.000000,0.000000
0.050000,3.298650,5.135417,0.008750,0.112500,1.250000,15.000000,0.000000
0.050000,3.308650,5.135417,0.018750,0.200000,1.750000,10.000000,0.000000
0.050000,3.324275,5.135417,0.034375,0.312500,2.250000,10.000000,0.000000
0.050000,3.346775,5.135417,0.056875,0.450000,2.750000,10.000000,0.000000
0.050000,3.376775,5.135417,0.086875,0.600000,3.000000,5.000000,0.000000
0.050000,3.414275,5.135417,0.124375,0.750000,3.000000,-0.000000,0.000000
0.050000,3.459275,5.135417,0.169375,0.900000,3.000000,0.000000,0.000000
0.050000,3.511775,5.135417,0.221875,1.050000,3.000000,0.000000,0.000000
0.050000,3.571775,5.135417,0.281875,1.200000,3.000000,0.000000,0.000000
0.050000,3.639275,5.135417,0.349375,1.350000,3.000000,-0.000000,0.000000
0.050000,3.714275,5.135417,0.424375,1.500000,3.000000,0.000000,0.000000
0.050000,3.796775,5.135417,0.506875,1.650000,3.000000,0.000000,0.000000
0.050000,3.886775,5.135417,0.596875,1.800000,3.000000,-0.000000,0.000000
0.050000,3.984275,5.135417,0.694375,1.950000,3.000000,0.000000,0.000000
0.050000,4.089275,5.135417,0.799375,2.100000,3.000000,-0.000000,0.000000
0.050000,4.201775,5.135417,0.911875,2.250000,3.000000,-0.000000,0.000000
0.050000,4.321775,5.135417,1.031875,2.400000,3.000000,0.000000,0.000000
0.050000,4.449275,5.135417,1.159375,2.550000,3.000000,-0.000000,0.000000
0.050000,4.583650,5.135417,1.293750,2.687500,2.750000,-5.000000,0.000000
0.050000,4.723650,5.135417,1.433750,2.800000,2.250000,-10.000000,0.000000
0.050000,4.868025,5.135417,1.578125,2.887500,1.750000,-10.000000,0.000000
0.050000,5.015525,5.135417,1.725625,2.950000,1.250000,-10.000000,0.000000
0.050000,5.164900,5.135417,1.875000,2.987500,0.750000,-10.000000,0.000000
0.050000,5.314900,5.135417,2.025000,3.000000,0.250000,-10.000000,0.000000
0.050000,5.464900,5.135417,2.175000,3.000000,0.000000,-5.000000,0.000000
0.050000,5.614900,5.135417,2.325000,3.000000,-0.000000,-0.000000,0.000000
0.050000,5.764900,5.135417,2.475000,3.000000,0.000000,0.000000,0.000000
0.050000,5.914900,5.135417,2.625000,3.000000,0.000000,-0.000000,0.000000
0.050000,6.064900,5.135417,2.775000,3.000000,-0.000000,-0.000000,0.000000
0.050000,6.214900,5.135417,2.925000,3.000000,0.000000,0.000000,0.000000
0.050000,6.364900,5.135417,3.075000,3.000000,-0.000000,-0.000000,0.000000
0.050000,6.514900,5.135417,3.225000,3.000000,0.000000,0.000000,0.000000
0.050000,6.664900,5.135417,3.375000,3.000000,-0.000000,-0.000000,0.000000
0.050000,6.814900,5.135417,3.525000,3.000000,0.000000,0.000000,0.000000
0.050000,6.964900,5.135417,3.675000,3.000000,-0.000000,-0.000000,0.000000
0.050000,7.114900,5.135417,3.825000,3.000000,0.000000,0.000000,0.000000
0.050000,7.264900,5.135417,3.975000,3.000000,0.000000,0.000000,0.000000
