dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.628657,2.864583,0.003741,0.149639,2.992770,59.855400,0.000000
0.050000,1.639880,2.864583,0.014964,0.224458,1.496385,-29.927700,0.000000
0.050000,1.658585,2.864583,0.033669,0.374096,2.992770,29.927700,0.000000
0.050000,1.684772,2.864583,0.059855,0.523735,2.992770,0.000000,0.000000
0.050000,1.718440,2.864583,0.093524,0.673373,2.992770,-0.000000,0.000000
0.050000,1.759591,2.864583,0.134675,0.823012,2.992770,0.000000,0.000000
0.050000,1.808223,2.864583,0.183307,0.972650,2.992770,0.000000,0.000000
0.050000,1.864338,2.864583,0.239422,1.122289,2.992770,0.000000,0.000000
0.050000,1.927934,2.864583,0.303018,1.271927,2.992770,-0.000000,0.000000
0.050000,1.999013,2.864583,0.374096,1.421566,2.992770,0.000000,0.000000
0.050000,2.077573,2.864583,0.452656,1.571204,2.992770,0.000000,0.000000
0.050000,2.163615,2.864583,0.538699,1.720843,2.992770,0.000000,0.000000
0.050000,2.257139,2.864583,0.632223,1.870481,2.992770,0.000000,0.000000
0.050000,2.358145,2.864583,0.733229,2.020120,2.992770,-0.000000,0.000000
0.050000,2.466633,2.864583,0.841717,2.169758,2.992770,-0.000000,0.000000
0.050000,2.582603,2.864583,0.957686,2.319397,2.992770,0.000000,0.000000
0.050000,2.706054,2.864583,1.081138,2.469035,2.992770,-0.000000,0.000000
0.050000,2.836988,2.864583,1.212072,2.618674,2.992770,-0.000000,0.000000
0.050000,2.975404,2.864583,1.350487,2.768312,2.992770,0.000000,0.000000
0.050000,3.121301,2.864583,1.496385,2.917951,2.992770,-0.000000,0.000000
0.050000,3.274681,2.864583,1.649764,3.067589,2.992770,0.000000,0.000000
0.050000,3.435542,2.864583,1.810626,3.217228,2.992770,0.000000,0.000000
0.050000,3.603885,2.864583,1.978969,3.366866,2.992770,0.000000,0.000000
0.050000,3.779711,2.864583,2.154794,3.516505,2.992770,-0.000000,0.000000
0.050000,3.963018,2.864583,2.338102,3.666143,2.992770,0.000000,0.000000
0.050000,4.153807,2.864583,2.528891,3.815782,2.992770,0.000000,0.000000
0.050000,4.352078,2.864583,2.727162,3.965420,2.992770,-0.000000,0.000000
0.050000,4.557831,2.864583,2.932915,4.115059,2.992770,0.000000,0.000000
0.050000,4.771066,2.864583,3.146149,4.264697,2.992770,-0.000000,0.000000
0.050000,4.991783,2.864583,3.366866,4.414336,2.992770,0.000000,0.000000
0.050000,5.219981,2.864583,3.595065,4.563974,2.992770,-0.000000,0.000000
0.050000,5.455662,2.864583,3.830746,4.713613,2.992770,0.000000,0.000000
0.050000,5.698824,2.864583,4.073908,4.863251,2.992770,-0.000000,0.000000
0.050000,5.945430,2.864583,4.320514,4.932120,1.377378,-32.307842,0.000000
0.050000,6.187998,2.864583,4.563082,4.851351,-1.615392,-59.855400,0.000000
0.050000,6.423084,2.864583,4.798167,4.701712,-2.992770,-27.547558,0.000000
0.050000,6.650687,2.864583,5.025771,4.552074,-2.992770,-0.000000,0.000000
0.050000,6.870809,2.864583,5.245893,4.402435,-2.992770,0.000000,0.000000
0.050000,7.083449,2.864583,5.458533,4.252797,-2.992770,0.000000,0.000000
0.050000,7.288607,2.864583,5.663691,4.103158,-2.992770,-0.000000,0.000000
0.050000,7.486283,2.864583,5.861366,3.953520,-2.992770,0.000000,0.000000
0.050000,7.676477,2.864583,6.051561,3.803881,-2.992770,-0.000000,0.000000
0.050000,7.859189,2.864583,6.234273,3.654243,-2.992770,0.000000,0.000000
0.050000,8.034419,2.864583,6.409503,3.504604,-2.992770,-0.000000,0.000000
0.050000,8.202167,2.864583,6.577251,3.354966,-2.992770,0.000000,0.000000
0.050000,8.362434,2.864583,6.737518,3.205327,-2.992770,-0.000000,0.000000
0.050000,8.515218,2.864583,6.890302,3.055689,-2.992770,0.000000,0.000000
0.050000,8.660521,2.864583,7.035604,2.906050,-2.992770,-0.000000,0.000000
0.050000,8.798341,2.864583,7.173425,2.756412,-2.992770,-0.000000,0.000000
0.050000,8.928680,2.864583,7.303764,2.606773,-2.992770,0.000000,0.000000
0.050000,9.051537,2.864583,7.426620,2.457135,-2.992770,-0.000000,0.000000
0.050000,9.166911,2.864583,7.541995,2.307496,-2.992770,0.000000,0.000000
0.050000,9.274804,2.864583,7.649888,2.157858,-2.992770,-0.000000,0.000000
0.050000,9.375215,2.864583,7.750299,2.008219,-2.992770,0.000000,0.000000
0.050000,9.468144,2.864583,7.843228,1.858581,-2.992770,-0.000000,0.000000
0.050000,9.553591,2.864583,7.928675,1.708942,-2.992770,0.000000,0.000000
