dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.290013,23.635417,0.000005,0.001000,0.100000,10.000000,6.283173
0.010000,3.290009,23.635417,0.000009,0.000412,-0.058825,-15.882523,6.283177
0.010000,3.290000,23.635417,0.000018,0.000926,0.051468,11.029308,6.283185
0.010000,3.290063,23.635417,0.000081,0.006308,0.538129,48.666143,0.000014
0.010000,3.290162,23.635417,0.000181,0.009927,0.361895,-17.623465,0.000037
0.010000,3.290305,23.635417,0.000324,0.014294,0.436783,7.488797,0.000070
0.010000,3.290500,23.635417,0.000518,0.019457,0.516207,7.942444,0.000114
0.010000,3.290754,23.635417,0.000772,0.025413,0.595640,7.943256,0.000172
0.010000,3.291076,23.635417,0.001094,0.032164,0.675081,7.944094,0.000246
0.010000,3.291473,23.635417,0.001491,0.039709,0.754534,7.945391,0.000336
0.010000,3.291953,23.635417,0.001972,0.048049,0.834003,7.946857,0.000446
0.010000,3.292525,23.635417,0.002543,0.057184,0.913491,7.948767,0.000576
0.010000,3.293196,23.635418,0.003215,0.067114,0.993000,7.950955,0.000729
0.010000,3.293975,23.635418,0.003993,0.077839,1.072536,7.953612,0.000907
0.010000,3.294868,23.635419,0.004887,0.089360,1.152103,7.956714,0.001111
0.010000,3.295885,23.635421,0.005903,0.101678,1.231706,7.960290,0.001343
0.010000,3.297033,23.635422,0.007051,0.114791,1.311350,7.964361,0.001604
0.010000,3.298320,23.635425,0.008338,0.128701,1.391040,7.969046,0.001898
0.010000,3.299754,23.635428,0.009772,0.143409,1.470784,7.974321,0.002224
0.010000,3.301343,23.635431,0.011362,0.158915,1.550586,7.980229,0.002586
0.010000,3.303091,23.635436,0.013110,0.174822,1.590720,4.013417,0.002984
0.010000,3.304999,23.635442,0.015017,0.190734,1.591173,0.045332,0.003418
0.010000,3.307065,23.635450,0.017084,0.206651,1.591670,0.049605,0.003888
0.010000,3.309291,23.635459,0.019309,0.222573,1.592210,0.054045,0.004394
0.010000,3.311676,23.635470,0.021694,0.238501,1.592794,0.058440,0.004935
0.010000,3.314220,23.635483,0.024239,0.254435,1.593424,0.062963,0.005513
0.010000,3.316924,23.635499,0.026942,0.270376,1.594100,0.067582,0.006126
0.010000,3.319787,23.635518,0.029806,0.286324,1.594822,0.072184,0.006775
0.010000,3.322810,23.635539,0.032828,0.302280,1.595591,0.076920,0.007459
0.010000,3.325992,23.635564,0.036011,0.318244,1.596408,0.081734,0.008179
0.010000,3.329334,23.635593,0.039353,0.334217,1.597274,0.086616,0.008935
0.010000,3.332836,23.635625,0.042855,0.350199,1.598191,0.091648,0.009726
0.010000,3.336498,23.635662,0.046517,0.366190,1.599157,0.096608,0.010552
0.010000,3.340320,23.635704,0.050339,0.382192,1.600176,0.101914,0.011413
0.010000,3.344301,23.635752,0.054321,0.398205,1.601247,0.107071,0.012310
0.010000,3.348443,23.635805,0.058463,0.414228,1.602372,0.112499,0.013241
0.010000,3.352745,23.635864,0.062766,0.430264,1.603551,0.117972,0.014208
0.010000,3.357208,23.635929,0.067229,0.446312,1.604787,0.123556,0.015209
0.010000,3.361831,23.636002,0.071853,0.462373,1.606080,0.129300,0.016245
0.010000,3.366615,23.636082,0.076637,0.478447,1.607431,0.135058,0.017316
0.010000,3.371560,23.636171,0.081583,0.494535,1.608841,0.141070,0.018421
0.010000,3.376665,23.636268,0.086689,0.510638,1.610312,0.147083,0.019560
0.010000,3.381932,23.636374,0.091956,0.526757,1.611845,0.153317,0.020734
0.010000,3.387359,23.636490,0.097385,0.542891,1.613442,0.159635,0.021941
0.010000,3.392948,23.636616,0.102976,0.559042,1.615102,0.166086,0.023183
0.010000,3.398699,23.636753,0.108728,0.575211,1.616829,0.172672,0.024458
0.010000,3.404611,23.636901,0.114642,0.591397,1.618623,0.179413,0.025767
0.010000,3.410685,23.637062,0.120718,0.607602,1.620486,0.186298,0.027109
0.010000,3.416921,23.637235,0.126956,0.623826,1.622419,0.193264,0.028484
0.010000,3.423319,23.637422,0.133357,0.640070,1.624423,0.200442,0.029893
0.010000,3.429879,23.637623,0.139920,0.656335,1.626501,0.207761,0.031334
0.010000,3.436602,23.637839,0.146646,0.672622,1.628653,0.215169,0.032809
0.010000,3.443487,23.638070,0.153536,0.688930,1.630880,0.222769,0.034315
0.010000,3.450535,23.638317,0.160588,0.705262,1.633186,0.230532,0.035854
0.010000,3.457747,23.638582,0.167805,0.721618,1.635570,0.238388,0.037425
0.010000,3.465121,23.638864,0.175185,0.737998,1.638034,0.246428,0.039028
0.010000,3.472659,23.639164,0.182729,0.754404,1.640580,0.254662,0.040663
0.010000,3.480361,23.639484,0.190437,0.770836,1.643210,0.262938,0.042329
