dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,3.289987,21.364583,0.000005,0.001000,0.100000,10.000000,6.283173
0.010000,3.289991,21.364583,0.000009,0.000412,-0.058825,-15.882523,6.283177
0.010000,3.290000,21.364583,0.000018,0.000926,0.051468,11.029308,6.283185
0.010000,3.290096,21.364583,0.000114,0.009602,0.867522,81.605379,0.000014
0.010000,3.290247,21.364583,0.000265,0.015073,0.547169,-32.035245,0.000037
0.010000,3.290464,21.364583,0.000482,0.021706,0.663218,11.604859,0.000070
0.010000,3.290759,21.364583,0.000778,0.029543,0.783792,12.057449,0.000114
0.010000,3.291145,21.364583,0.001163,0.038587,0.904361,12.056890,0.000172
0.010000,3.291633,21.364584,0.001652,0.048836,1.024919,12.055777,0.000246
0.010000,3.292236,21.364584,0.002255,0.060291,1.145466,12.054685,0.000336
0.010000,3.292966,21.364584,0.002984,0.072951,1.265997,12.053083,0.000446
0.010000,3.293834,21.364584,0.003852,0.086816,1.386510,12.051304,0.000576
0.010000,3.294853,21.364585,0.004871,0.101886,1.507000,12.049002,0.000729
0.010000,3.296034,21.364586,0.006053,0.118161,1.627463,12.046381,0.000907
0.010000,3.297391,21.364587,0.007409,0.135640,1.747897,12.043309,0.001111
0.010000,3.298934,21.364589,0.008953,0.154322,1.868294,12.039733,0.001343
0.010000,3.300676,21.364592,0.010695,0.174209,1.988650,12.035589,0.001604
0.010000,3.302629,21.364595,0.012648,0.195299,2.108959,12.030957,0.001898
0.010000,3.304805,21.364600,0.014824,0.217591,2.229216,12.025693,0.002224
0.010000,3.307216,21.364606,0.017234,0.241085,2.349414,12.019757,0.002586
0.010000,3.309868,21.364613,0.019886,0.265178,2.409280,5.986562,0.002984
0.010000,3.312760,21.364622,0.022779,0.289266,2.408827,-0.045258,0.003418
0.010000,3.315894,21.364634,0.025912,0.313349,2.408330,-0.049676,0.003888
0.010000,3.319268,21.364648,0.029287,0.337427,2.407790,-0.053980,0.004394
0.010000,3.322883,21.364665,0.032902,0.361499,2.407205,-0.058501,0.004935
0.010000,3.326739,21.364685,0.036757,0.385565,2.406575,-0.062990,0.005513
0.010000,3.330835,21.364709,0.040853,0.409624,2.405900,-0.067503,0.006126
0.010000,3.335171,21.364736,0.045190,0.433676,2.405178,-0.072225,0.006775
0.010000,3.339748,21.364769,0.049767,0.457720,2.404409,-0.076936,0.007459
0.010000,3.344566,21.364807,0.054585,0.481756,2.403591,-0.081732,0.008179
0.010000,3.349624,21.364850,0.059643,0.505783,2.402725,-0.086638,0.008935
0.010000,3.354921,21.364899,0.064941,0.529801,2.401810,-0.091539,0.009726
0.010000,3.360459,21.364956,0.070479,0.553810,2.400842,-0.096783,0.010552
0.010000,3.366237,21.365019,0.076257,0.577808,2.399824,-0.101746,0.011413
0.010000,3.372254,21.365090,0.082275,0.601795,2.398753,-0.107186,0.012310
0.010000,3.378512,21.365170,0.088533,0.625772,2.397628,-0.112478,0.013241
0.010000,3.385008,21.365260,0.095030,0.649736,2.396448,-0.117973,0.014208
0.010000,3.391744,21.365359,0.101767,0.673688,2.395212,-0.123578,0.015209
0.010000,3.398720,21.365468,0.108743,0.697627,2.393920,-0.129228,0.016245
0.010000,3.405934,21.365589,0.115959,0.721553,2.392568,-0.135153,0.017316
0.010000,3.413388,21.365723,0.123413,0.745465,2.391159,-0.140998,0.018421
0.010000,3.421080,21.365869,0.131107,0.769362,2.389687,-0.147151,0.019560
0.010000,3.429011,21.366029,0.139039,0.793243,2.388154,-0.153291,0.020734
0.010000,3.437180,21.366203,0.147210,0.817109,2.386558,-0.159628,0.021941
0.010000,3.445588,21.366393,0.155620,0.840958,2.384897,-0.166096,0.023183
0.010000,3.454233,21.366599,0.164268,0.864789,2.383170,-0.172697,0.024458
0.010000,3.463116,21.366822,0.173154,0.888603,2.381376,-0.179411,0.025767
0.010000,3.472237,21.367063,0.182278,0.912398,2.379513,-0.186254,0.027109
0.010000,3.481595,21.367323,0.191640,0.936174,2.377580,-0.193330,0.028484
0.010000,3.491190,21.367603,0.201239,0.959930,2.375575,-0.200445,0.029893
0.010000,3.501022,21.367904,0.211076,0.983665,2.373498,-0.207710,0.031334
0.010000,3.511091,21.368227,0.221149,1.007378,2.371346,-0.215207,0.032809
0.010000,3.521396,21.368573,0.231460,1.031069,2.369118,-0.222786,0.034315
0.010000,3.531937,21.368943,0.242007,1.054738,2.366814,-0.230489,0.035854
0.010000,3.542713,21.369338,0.252791,1.078382,2.364429,-0.238428,0.037425
0.010000,3.553725,21.369759,0.263811,1.102001,2.361965,-0.246466,0.039028
0.010000,3.564972,21.370208,0.275067,1.125596,2.359419,-0.254590,0.040663
0.010000,3.576454,21.370685,0.286559,1.149164,2.356788,-0.263027,0.042329
0.010000,3.588170,21.371191,0.298286,1.172704,2.354074,-0.271406,0.044026
0.010000,3.600120,21.371728,0.310248,1.196217,2.351273,-0.280159,0.045754
0.010000,3.612304,21.372296,0.322445,1.219701,2.348384,-0.288890,0.047513
0.010000,3.624721,21.372898,0.334877,1.243155,2.345406,-0.297837,0.049302
0.010000,3.637371,21.373533,0.347542,1.266578,2.342336,-0.306931,0.051122
0.010000,3.650253,21.374205,0.360442,1.289970,2.339174,-0.316172,0.052971
0.010000,3.663367,21.374912,0.373575,1.313329,2.335919,-0.325558,0.054850
0.010000,3.676713,21.375658,0.386942,1.336655,2.332568,-0.335088,0.056758
0.010000,3.690290,21.376442,0.400541,1.359946,2.329121,-0.344708,0.058695
0.010000,3.704097,21.377267,0.414373,1.383202,2.325575,-0.354600,0.060661
0.010000,3.718135,21.378134,0.428438,1.406421,2.321930,-0.364482,0.062655
0.010000,3.732402,21.379044,0.442734,1.429603,2.318184,-0.374598,0.064677
0.010000,3.746898,21.379997,0.457261,1.452746,2.314337,-0.384765,0.066727
0.010000,3.761623,21.380997,0.472020,1.475850,2.310385,-0.395167,0.068804
0.010000,3.776575,21.382043,0.487009,1.498913,2.306329,-0.405589,0.070909
0.010000,3.791755,21.383137,0.502228,1.521935,2.302167,-0.416170,0.073039
0.010000,3.807162,21.384281,0.517677,1.544914,2.297898,-0.426879,0.075196
0.010000,3.822795,21.385476,0.533356,1.567849,2.293521,-0.437704,0.077379
0.010000,3.838653,21.386724,0.549263,1.590740,2.289035,-0.448611,0.079588
0.010000,3.854736,21.388024,0.565399,1.613584,2.284439,-0.459625,0.081821
0.010000,3.871044,21.389380,0.581763,1.636381,2.279732,-0.470744,0.084079
0.010000,3.887575,21.390792,0.598354,1.659131,2.274912,-0.481966,0.086361
0.010000,3.904329,21.392262,0.615172,1.681830,2.269979,-0.493252,0.088667
0.010000,3.921305,21.393792,0.632217,1.704480,2.264933,-0.504615,0.090997
0.010000,3.938503,21.395381,0.649488,1.727077,2.259773,-0.516039,0.093349
0.010000,3.955921,21.397033,0.666984,1.749622,2.254497,-0.527609,0.095724
0.010000,3.973559,21.398748,0.684705,1.772113,2.249106,-0.539103,0.098120
0.010000,3.991416,21.400527,0.702651,1.794549,2.243598,-0.550792,0.100538
0.010000,4.009491,21.402373,0.720820,1.816929,2.237974,-0.562389,0.102977
0.010000,4.027784,21.404286,0.739213,1.839251,2.232232,-0.574159,0.105437
0.010000,4.046293,21.406268,0.757828,1.861515,2.226374,-0.585830,0.107916
0.010000,4.065018,21.408320,0.776665,1.883719,2.220398,-0.597616,0.110415
0.010000,4.083958,21.410444,0.795724,1.905862,2.214304,-0.609382,0.112933
0.010000,4.103112,21.412641,0.815003,1.927943,2.208093,-0.621141,0.115469
0.010000,4.122479,21.414913,0.834503,1.949961,2.201764,-0.632905,0.118023
0.010000,4.142058,21.417260,0.854222,1.971914,2.195317,-0.644667,0.120594
