dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.290482,23.995417,0.000625,0.025000,0.500000,10.000000,0.000030
0.050000,3.292817,23.995417,0.002960,0.046691,0.433821,-1.323577,0.000176
0.050000,3.298070,23.995419,0.008213,0.105060,1.167377,14.671116,0.000503
0.050000,3.307410,23.995426,0.017552,0.186790,1.634609,9.344642,0.001085
0.050000,3.321421,23.995447,0.031563,0.280227,1.868730,4.682417,0.001956
0.050000,3.340106,23.995495,0.050249,0.373713,1.869724,0.019890,0.003114
0.050000,3.363470,23.995584,0.073612,0.467266,1.871055,0.026615,0.004555
0.050000,3.391514,23.995736,0.101657,0.560902,1.872726,0.033418,0.006277
0.050000,3.424245,23.995974,0.134389,0.654639,1.874742,0.040317,0.008274
0.050000,3.461668,23.996327,0.171814,0.748495,1.877108,0.047327,0.010542
0.050000,3.503790,23.996824,0.213938,0.842486,1.879831,0.054458,0.013075
0.050000,3.550617,23.997502,0.260770,0.936632,1.882917,0.061721,0.015866
0.050000,3.602156,23.998398,0.312318,1.030951,1.886373,0.069122,0.018906
0.050000,3.658417,23.999555,0.368591,1.125461,1.890207,0.076666,0.022189
0.050000,3.719409,24.001016,0.429600,1.220182,1.894424,0.084350,0.025704
0.050000,3.785141,24.002829,0.495356,1.315134,1.899033,0.092172,0.029441
0.050000,3.855623,24.005044,0.565873,1.410336,1.904039,0.100124,0.033389
0.050000,3.930866,24.007714,0.641164,1.505808,1.909449,0.108196,0.037537
0.050000,4.010881,24.010893,0.721242,1.601572,1.915267,0.116372,0.041872
0.050000,4.095681,24.014638,0.806125,1.697647,1.921499,0.124635,0.046379
0.050000,4.185277,24.019006,0.895827,1.794054,1.928147,0.132964,0.051044
0.050000,4.279683,24.024058,0.990368,1.890815,1.935214,0.141335,0.055852
0.050000,4.378911,24.029853,1.089765,1.987950,1.942700,0.149723,0.060787
0.050000,4.482976,24.036451,1.194039,2.085480,1.950605,0.158101,0.065830
0.050000,4.591892,24.043913,1.303211,2.183426,1.958927,0.166441,0.070963
0.050000,4.705674,24.052300,1.417301,2.281809,1.967663,0.174714,0.076168
0.050000,4.824337,24.061671,1.536334,2.380650,1.976808,0.182895,0.081423
0.050000,4.947897,24.072085,1.660332,2.479968,1.986356,0.190957,0.086709
0.050000,5.076372,24.083598,1.789321,2.579783,1.996300,0.198879,0.092003
0.050000,5.209777,24.096264,1.923327,2.680114,2.006632,0.206641,0.097282
0.050000,5.347536,24.110074,2.061776,2.768983,1.777379,-4.585060,0.102501
0.050000,5.488469,24.124936,2.203491,2.834293,1.306207,-9.423422,0.107596
0.050000,5.631393,24.140733,2.347284,2.875869,0.831519,-9.493778,0.112512
0.050000,5.775115,24.157316,2.491961,2.893526,0.353138,-9.567613,0.117201
0.050000,5.919041,24.174589,2.636919,2.899167,0.112809,-4.806583,0.121641
0.050000,6.063170,24.192518,2.782159,2.904810,0.112861,0.001053,0.125833
0.050000,6.207506,24.211069,2.927682,2.910454,0.112879,0.000341,0.129776
0.050000,6.352049,24.230208,3.073487,2.916097,0.112866,-0.000258,0.133471
0.050000,6.496803,24.249901,3.219574,2.921738,0.112828,-0.000750,0.136917
0.050000,6.641769,24.270114,3.365943,2.927377,0.112771,-0.001143,0.140115
0.050000,6.786952,24.290812,3.512593,2.933012,0.112699,-0.001444,0.143065
0.050000,6.932354,24.311960,3.659525,2.938643,0.112616,-0.001658,0.145767
0.050000,7.077979,24.333525,3.806739,2.944269,0.112526,-0.001793,0.148221
0.050000,7.223832,24.355471,3.954233,2.949891,0.112433,-0.001855,0.150427
0.050000,7.369916,24.377763,4.102009,2.955508,0.112341,-0.001852,0.152387
0.050000,7.516237,24.400365,4.250065,2.961120,0.112251,-0.001791,0.154099
0.050000,7.662798,24.423244,4.398401,2.966729,0.112167,-0.001678,0.155564
0.050000,7.809606,24.446363,4.547018,2.972333,0.112091,-0.001520,0.156782
0.050000,7.956665,24.469686,4.695915,2.977934,0.112025,-0.001323,0.157754
0.050000,8.103980,24.493178,4.845091,2.983533,0.111971,-0.001094,0.158479
0.050000,8.251557,24.516803,4.994548,2.989129,0.111929,-0.000840,0.158958
0.050000,8.399402,24.540525,5.144284,2.994724,0.111900,-0.000567,0.159190
0.050000,8.547521,24.564308,5.294300,3.000319,0.111886,-0.000281,0.159176
0.050000,8.695920,24.588114,5.444596,3.005913,0.111887,0.000011,0.158916
0.050000,8.844603,24.611908,5.595171,3.011508,0.111902,0.000302,0.158409
0.050000,8.993578,24.635651,5.746026,3.017105,0.111931,0.000586,0.157656
0.050000,9.142850,24.659309,5.897161,3.022703,0.111974,0.000858,0.156656
0.050000,9.292426,24.682842,6.048577,3.028305,0.112030,0.001109,0.155410
0.050000,9.442310,24.706213,6.200272,3.033910,0.112096,0.001335,0.153916
0.050000,9.592509,24.729385,6.352248,3.039518,0.112173,0.001528,0.152176
0.050000,9.743028,24.752319,6.504505,3.045131,0.112257,0.001681,0.150189
0.050000,9.893874,24.774976,6.657042,3.050748,0.112346,0.001789,0.147954
0.050000,10.045050,24.797320,6.809861,3.056370,0.112438,0.001844,0.145471
0.050000,10.196562,24.819309,6.962960,3.061997,0.112530,0.001839,0.142741
0.050000,10.348416,24.840906,7.116342,3.067628,0.112619,0.001769,0.139763
0.050000,10.500614,24.862070,7.270005,3.073263,0.112700,0.001625,0.136537
0.050000,10.653163,24.882762,7.423950,3.078901,0.112770,0.001401,0.133062
0.050000,10.806064,24.902941,7.578177,3.084543,0.112825,0.001091,0.129339
0.050000,10.959321,24.922569,7.732686,3.090186,0.112859,0.000687,0.125367
0.050000,11.112938,24.941603,7.887478,3.095829,0.112868,0.000183,0.121147
0.050000,11.266916,24.960003,8.042551,3.101471,0.112847,-0.000429,0.116679
0.050000,11.421257,24.977727,8.197907,3.107111,0.112789,-0.001154,0.111962
0.050000,11.575962,24.994735,8.353544,3.112745,0.112689,-0.002000,0.106997
0.050000,11.731032,25.010985,8.509463,3.118372,0.112540,-0.002971,0.101784
0.050000,11.886465,25.026435,8.665662,3.123989,0.112337,-0.004074,0.096324
0.050000,12.042262,25.041043,8.822142,3.129593,0.112071,-0.005314,0.090617
0.050000,12.198419,25.054767,8.978901,3.135179,0.111736,-0.006696,0.084664
0.050000,12.354934,25.067564,9.135938,3.140746,0.111325,-0.008224,0.078465
0.050000,12.511803,25.079393,9.293252,3.146287,0.110830,-0.009901,0.072023
0.050000,12.669021,25.090211,9.450842,3.151799,0.110243,-0.011730,0.065338
0.050000,12.826582,25.099976,9.608706,3.157277,0.109558,-0.013712,0.058412
0.050000,12.984480,25.108645,9.766842,3.162715,0.108765,-0.015848,0.051246
