dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.004272,21.864585,0.003731,0.149254,2.985075,59.701493,0.000574
0.050000,1.017479,21.864604,0.016938,0.264136,2.297653,-13.748433,0.002347
0.050000,1.039480,21.864688,0.038939,0.440025,3.517776,24.402470,0.005293
0.050000,1.070260,21.864914,0.069720,0.615607,3.511631,-0.122902,0.009398
0.050000,1.109794,21.865389,0.109257,0.790750,3.502868,-0.175267,0.014643
0.050000,1.158053,21.866250,0.157523,0.965317,3.491336,-0.230638,0.021003
0.050000,1.214993,21.867658,0.214481,1.139160,3.476856,-0.289593,0.028446
0.050000,1.280564,21.869803,0.280087,1.312121,3.459231,-0.352499,0.036932
0.050000,1.354701,21.872895,0.354289,1.484034,3.438258,-0.419465,0.046417
0.050000,1.437327,21.877166,0.437025,1.654721,3.413743,-0.490314,0.056846
0.050000,1.528349,21.882864,0.528225,1.823997,3.385515,-0.564547,0.068156
0.050000,1.627658,21.890250,0.627808,1.991670,3.353448,-0.641342,0.080278
0.050000,1.735130,21.899594,0.735685,2.157543,3.317470,-0.719557,0.093132
0.050000,1.850622,21.911172,0.851757,2.321422,3.277581,-0.797775,0.106630
0.050000,1.973976,21.925256,0.975912,2.483115,3.233863,-0.874362,0.120675
0.050000,2.105018,21.942116,1.108034,2.642440,3.186485,-0.947567,0.135165
0.050000,2.243558,21.962010,1.247996,2.799225,3.135703,-1.015637,0.149986
0.050000,2.389395,21.985180,1.395661,2.953318,3.081855,-1.076955,0.165020
0.050000,2.542317,22.011846,1.550891,3.104585,3.025346,-1.130185,0.180143
0.050000,2.702104,22.042203,1.713536,3.252916,2.966626,-1.174403,0.195226
0.050000,2.868535,22.076418,1.883448,3.398224,2.906165,-1.209224,0.210135
0.050000,3.041386,22.114620,2.060470,3.540445,2.844421,-1.234872,0.224734
0.050000,3.220438,22.156902,2.244447,3.679536,2.781809,-1.252235,0.238885
0.050000,3.405480,22.203316,2.435220,3.815469,2.718667,-1.262856,0.252450
0.050000,3.596308,22.253871,2.632632,3.948230,2.655222,-1.268893,0.265289
0.050000,3.792736,22.308527,2.836522,4.077809,2.591570,-1.273037,0.277261
0.050000,3.994592,22.367197,3.046732,4.204191,2.527649,-1.278418,0.288225
0.050000,4.201723,22.429743,3.263099,4.327353,2.463225,-1.288489,0.298041
0.050000,4.413993,22.495973,3.485462,4.447247,2.397879,-1.306915,0.306563
0.050000,4.631289,22.565637,3.713652,4.563797,2.331005,-1.337478,0.313645
0.050000,4.853515,22.638428,3.947496,4.676887,2.261806,-1.383981,0.319135
0.050000,5.080596,22.713974,4.186813,4.786352,2.189299,-1.450151,0.322872
0.050000,5.312472,22.791833,4.431412,4.891968,2.112322,-1.539539,0.324687
0.050000,5.549096,22.871490,4.681084,4.993446,2.029554,-1.655346,0.324398
0.050000,5.790431,22.952351,4.935605,5.090423,1.939546,-1.800159,0.321808
0.050000,6.036443,23.033731,5.194728,5.182462,1.840772,-1.975490,0.316698
0.050000,6.287096,23.114850,5.458181,5.269048,1.731721,-2.181014,0.308828
0.050000,6.542341,23.194823,5.725661,5.349601,1.611055,-2.413332,0.297934
