dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.002858,14.135418,0.003676,0.147059,2.941176,58.823529,0.000604
0.050000,1.011754,14.135431,0.012572,0.177905,0.616924,-46.485052,0.002483
0.050000,1.026575,14.135491,0.027393,0.296425,2.370401,35.069551,0.005620
0.050000,1.047315,14.135653,0.048134,0.414825,2.367996,-0.048099,0.010018
0.050000,1.073967,14.135996,0.074788,0.533066,2.364820,-0.063538,0.015685
0.050000,1.106517,14.136620,0.107343,0.651119,2.361067,-0.075043,0.022630
0.050000,1.144951,14.137648,0.145792,0.768969,2.357002,-0.081298,0.030861
0.050000,1.189254,14.139226,0.190123,0.886617,2.352960,-0.080858,0.040387
0.050000,1.239406,14.141525,0.240327,1.004085,2.349352,-0.072152,0.051216
0.050000,1.295385,14.144735,0.296398,1.121419,2.346678,-0.053486,0.063354
0.050000,1.357167,14.149072,0.358333,1.238695,2.345524,-0.023073,0.076804
0.050000,1.424728,14.154772,0.426134,1.356023,2.346569,0.020899,0.091562
0.050000,1.498041,14.162098,0.499812,1.473552,2.350578,0.080178,0.107621
0.050000,1.577077,14.171331,0.579385,1.591472,2.358393,0.156299,0.124963
0.050000,1.661808,14.182776,0.664886,1.710018,2.370913,0.250410,0.143560
0.050000,1.752207,14.196760,0.756360,1.829471,2.389066,0.363064,0.163372
0.050000,1.848245,14.213629,0.853868,1.950159,2.413764,0.493948,0.184346
0.050000,1.949895,14.233748,0.957490,2.072452,2.445848,0.641673,0.206410
0.050000,2.057134,14.257501,1.067328,2.196753,2.486024,0.803538,0.229476
0.050000,2.169937,14.285284,1.183502,2.323493,2.534796,0.975424,0.253436
0.050000,2.288284,14.317510,1.306158,2.453112,2.592386,1.151800,0.278164
0.050000,2.412153,14.354596,1.435460,2.586046,2.658681,1.325909,0.303514
0.050000,2.541527,14.396967,1.571596,2.722705,2.733191,1.490189,0.329321
0.050000,2.676386,14.445044,1.714768,2.863457,2.815033,1.636852,0.355406
0.050000,2.816713,14.499246,1.865199,3.008605,2.902965,1.758647,0.381575
0.050000,2.962488,14.559974,2.023118,3.158378,2.995449,1.849661,0.407624
0.050000,3.113695,14.627612,2.188763,3.312915,3.090751,1.906051,0.433344
0.050000,3.270320,14.702515,2.362377,3.472269,3.187080,1.926585,0.458522
0.050000,3.432351,14.785004,2.544197,3.636406,3.282724,1.912880,0.482948
0.050000,3.599787,14.875361,2.734458,3.805215,3.376190,1.869311,0.506417
0.050000,3.772640,14.973816,2.933384,3.978531,3.466320,1.802598,0.528729
0.050000,3.950942,15.080552,3.141192,4.156150,3.552378,1.721162,0.549696
0.050000,4.134749,15.195693,3.358085,4.337855,3.634097,1.634378,0.569138
0.050000,4.324154,15.319304,3.584257,4.523439,3.711689,1.551836,0.586884
0.050000,4.516461,15.449441,3.816459,4.644044,2.412086,-25.992045,0.602557
0.050000,4.709007,15.583856,4.051280,4.696433,1.047790,-27.285921,0.615923
0.050000,4.901980,15.722109,4.288667,4.747738,1.026108,-0.433652,0.627031
0.050000,5.095591,15.863769,4.528570,4.798045,1.006139,-0.399376,0.635924
0.050000,5.290076,16.008411,4.770944,4.847492,0.988922,-0.344329,0.642639
0.050000,5.485690,16.155612,5.015757,4.896252,0.975217,-0.274117,0.647208
0.050000,5.682712,16.304956,5.262983,4.944530,0.965549,-0.193361,0.649650
0.050000,5.881437,16.456025,5.512610,4.992542,0.960254,-0.105891,0.649979
0.050000,6.082183,16.608400,5.764636,5.040518,0.959504,-0.014994,0.648195
0.050000,6.285285,16.761653,6.019070,5.088684,0.963322,0.076345,0.644289
0.050000,6.491092,16.915347,6.275934,5.137263,0.971580,0.165176,0.638244
0.050000,6.699972,17.069028,6.535257,5.186463,0.983997,0.248336,0.630032
0.050000,6.912300,17.222221,6.797080,5.236468,1.000107,0.322193,0.619618
0.050000,7.128466,17.374421,7.061452,5.287429,1.019227,0.382401,0.606959
0.050000,7.348858,17.525091,7.328424,5.339450,1.040411,0.423687,0.592008
0.050000,7.571561,17.672159,7.595305,5.337622,-0.036566,-21.539546,0.574905
0.050000,7.793379,17.812969,7.858042,5.254736,-1.657708,-32.422837,0.555981
0.050000,8.013179,17.946490,8.115219,5.143532,-2.224078,-11.327399,0.535477
0.050000,8.230776,18.072432,8.366634,5.028313,-2.304395,-1.606344,0.513571
0.050000,8.445919,18.190567,8.612077,4.908862,-2.389021,-1.692513,0.490448
0.050000,8.658296,18.300729,8.851326,4.784969,-2.477841,-1.776404,0.466305
0.050000,8.867539,18.402825,9.084149,4.656456,-2.570267,-1.848516,0.441345
0.050000,9.073236,18.496830,9.310308,4.523193,-2.665270,-1.900059,0.415778
0.050000,9.274937,18.582796,9.529564,4.385120,-2.761455,-1.923710,0.389814
0.050000,9.472168,18.660847,9.741677,4.242261,-2.857170,-1.914304,0.363666
0.050000,9.664444,18.731180,9.946414,4.094730,-2.950637,-1.869326,0.337539
0.050000,9.851283,18.794060,10.143550,3.942725,-3.040092,-1.789112,0.311630
0.050000,10.032214,18.849816,10.332876,3.786529,-3.123928,-1.676713,0.286124
0.050000,10.206789,18.898826,10.514201,3.626489,-3.200800,-1.537441,0.261190
0.050000,10.374594,18.941515,10.687351,3.463003,-3.269710,-1.378193,0.236979
0.050000,10.535253,18.978341,10.852176,3.296501,-3.330042,-1.206647,0.213625
0.050000,10.688430,19.009783,11.008547,3.127423,-3.381567,-1.030499,0.191242
0.050000,10.833836,19.036331,11.156357,2.956202,-3.424407,-0.856799,0.169922
0.050000,10.971225,19.058481,11.295520,2.783253,-3.458981,-0.691480,0.149744
0.050000,11.100392,19.076717,11.425968,2.608956,-3.485937,-0.539120,0.130765
0.050000,11.221172,19.091513,11.547650,2.433652,-3.506079,-0.402853,0.113030
0.050000,11.333434,19.103322,11.660532,2.257637,-3.520303,-0.284467,0.096570
0.050000,11.437080,19.112569,11.764590,2.081161,-3.529533,-0.184596,0.081407
0.050000,11.532038,19.119654,11.859812,1.904427,-3.534679,-0.102930,0.067550
0.050000,11.618256,19.124944,11.946191,1.727596,-3.536604,-0.038496,0.055004
0.050000,11.695701,19.128772,12.023731,1.550792,-3.536097,0.010130,0.043769
0.050000,11.764354,19.131437,12.092436,1.374098,-3.533865,0.044656,0.033839
0.050000,11.824206,19.133204,12.152315,1.197572,-3.530521,0.066868,0.025206
0.050000,11.875257,19.134304,12.203377,1.021243,-3.526593,0.078571,0.017862
0.050000,11.917508,19.134930,12.245633,0.845117,-3.522518,0.081495,0.011799
0.050000,11.950966,19.135245,12.279092,0.669184,-3.518656,0.077242,0.007007
0.050000,11.975636,19.135374,12.303763,0.493419,-3.515291,0.067306,0.003479
0.050000,11.991525,19.135412,12.319652,0.317788,-3.512639,0.053031,0.001210
0.050000,11.998638,19.135417,12.326764,0.142245,-3.510856,0.035661,0.000194
0.050000,12.000000,19.135417,12.328127,0.027245,-2.299988,24.217368,6.283185
0.050000,12.000000,19.135417,12.328127,0.000000,-0.544907,35.101604,6.283185
