dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.290662,11.864583,0.000625,0.025000,0.500000,10.000000,0.000129
0.050000,3.293872,11.864585,0.003835,0.064205,0.784105,5.682109,0.000754
0.050000,3.301097,11.864595,0.011060,0.144501,1.605919,16.436279,0.002164
0.050000,3.313948,11.864639,0.023912,0.257026,2.250485,12.891319,0.004675
0.050000,3.333241,11.864766,0.043205,0.385860,2.576685,6.523992,0.008456
0.050000,3.358993,11.865049,0.068958,0.515077,2.584342,0.153137,0.013524
0.050000,3.391229,11.865588,0.101198,0.644799,2.594443,0.202015,0.019900
0.050000,3.429975,11.866508,0.139956,0.775143,2.606878,0.248714,0.027613
0.050000,3.475262,11.867964,0.185266,0.906217,2.621490,0.292232,0.036694
0.050000,3.527123,11.870140,0.237172,1.038120,2.638053,0.331257,0.047180
0.050000,3.585587,11.873250,0.295719,1.170933,2.656257,0.364088,0.059112
0.050000,3.650681,11.877540,0.360955,1.304717,2.675685,0.388557,0.072531
0.050000,3.722427,11.883291,0.432930,1.439506,2.695781,0.401910,0.087482
0.050000,3.800831,11.890820,0.511695,1.575297,2.715821,0.400813,0.104010
0.050000,3.885886,11.900478,0.597297,1.712041,2.734885,0.381285,0.122156
0.050000,3.977563,11.912654,0.689779,1.849633,2.751821,0.338717,0.141957
0.050000,4.075801,11.927771,0.789173,1.987894,2.765224,0.268054,0.163444
0.050000,4.180505,11.946286,0.895502,2.126565,2.773425,0.164011,0.186635
0.050000,4.291533,11.968685,1.008766,2.265290,2.774504,0.021582,0.211531
0.050000,4.408689,11.995476,1.128947,2.403607,2.766334,-0.163387,0.238115
0.050000,4.531716,12.027181,1.255994,2.540941,2.746674,-0.393197,0.266343
0.050000,4.660289,12.064325,1.389824,2.676606,2.713306,-0.667366,0.296143
0.050000,4.794006,12.107422,1.530315,2.809818,2.664235,-0.981427,0.327406
0.050000,4.932395,12.156953,1.677300,2.939714,2.597930,-1.326086,0.359987
0.050000,5.074908,12.213358,1.830570,3.065394,2.513595,-1.686716,0.393698
0.050000,5.220937,12.277009,1.989868,3.185964,2.411408,-2.043735,0.428317
0.050000,5.369823,12.348198,2.154898,3.300600,2.292709,-2.373982,0.463580
0.050000,5.520879,12.427120,2.325328,3.408602,2.160049,-2.653197,0.499196
0.050000,5.673408,12.513869,2.500801,3.509456,2.017086,-2.859266,0.534850
0.050000,5.826736,12.608433,2.680945,3.602871,1.868300,-2.975707,0.570214
0.050000,5.979578,12.710249,2.864595,3.672999,1.402553,-9.314936,0.604813
0.050000,6.130189,12.818133,3.049858,3.705272,0.645462,-15.141820,0.638080
0.050000,6.277095,12.930734,3.234954,3.701908,-0.067285,-14.254941,0.669547
0.050000,6.419096,13.046592,3.418222,3.665364,-0.730885,-13.272007,0.698853
0.050000,6.555800,13.164691,3.598875,3.613065,-1.045979,-6.301885,0.725855
0.050000,6.687488,13.284542,3.776936,3.561221,-1.036867,0.182246,0.750574
0.050000,6.814469,13.405708,3.952451,3.510285,-1.018740,0.362547,0.773048
0.050000,6.937069,13.527805,4.125479,3.460559,-0.994516,0.484468,0.793332
0.050000,7.055620,13.650499,4.296090,3.412225,-0.966677,0.556783,0.811487
0.050000,7.170455,13.773491,4.464358,3.365362,-0.937253,0.588484,0.827578
0.050000,7.281898,13.896520,4.630356,3.319969,-0.907854,0.587967,0.841670
0.050000,7.390262,14.019351,4.794155,3.275983,-0.879725,0.562590,0.853824
0.050000,7.495847,14.141773,4.955820,3.233293,-0.853799,0.518511,0.864098
0.050000,7.598941,14.263592,5.115408,3.191755,-0.830764,0.460700,0.872543
0.050000,7.699814,14.384628,5.272968,3.151199,-0.811112,0.393045,0.879202
0.050000,7.798722,14.504711,5.428540,3.111440,-0.795186,0.318515,0.884109
0.050000,7.895904,14.623677,5.582154,3.072279,-0.783220,0.239336,0.887292
0.050000,7.991586,14.741365,5.733829,3.033511,-0.775362,0.157163,0.888768
0.050000,8.085978,14.857615,5.883576,2.994926,-0.771699,0.073241,0.888544
0.050000,8.179276,14.972267,6.031391,2.956312,-0.772272,-0.011444,0.886621
0.050000,8.271661,15.085155,6.177264,2.917459,-0.777073,-0.096022,0.882986
0.050000,8.363302,15.196113,6.321172,2.878156,-0.786053,-0.179608,0.877620
0.050000,8.454351,15.304963,6.463082,2.838201,-0.799111,-0.261161,0.870496
0.050000,8.544949,15.411526,6.602952,2.797397,-0.816078,-0.339343,0.861574
0.050000,8.635220,15.515612,6.740730,2.755562,-0.836697,-0.412365,0.850810
0.050000,8.725274,15.617026,6.876357,2.712533,-0.860588,-0.477820,0.838152
0.050000,8.815206,15.715566,7.009765,2.668172,-0.887213,-0.532513,0.823540
0.050000,8.905097,15.811022,7.140884,2.622380,-0.915827,-0.572283,0.806913
0.050000,8.995008,15.903185,7.269640,2.575109,-0.945420,-0.591849,0.788204
0.050000,9.084988,15.991842,7.395959,2.526377,-0.974656,-0.584727,0.767349
0.050000,9.175069,16.076784,7.519773,2.476286,-1.001819,-0.543249,0.744289
0.050000,9.265273,16.157812,7.641025,2.425048,-1.024758,-0.458793,0.718972
0.050000,9.355606,16.234739,7.759675,2.373004,-1.040874,-0.322309,0.691365
0.050000,9.446073,16.307397,7.875708,2.320647,-1.047137,-0.125261,0.661452
0.050000,9.536676,16.375647,7.989140,2.268638,-1.040189,0.138953,0.629250
0.050000,9.627422,16.439379,8.100030,2.217811,-1.016535,0.473075,0.594810
0.050000,9.718336,16.498523,8.208489,2.169169,-0.972849,0.873736,0.558228
0.050000,9.809464,16.553044,8.314681,2.123849,-0.906386,1.329256,0.519651
0.050000,9.900884,16.602947,8.418835,2.083075,-0.815480,1.818106,0.479279
0.050000,9.992711,16.648271,8.521239,2.048073,-0.700038,2.308858,0.437366
0.050000,10.085099,16.689078,8.622238,2.019977,-0.561923,2.762294,0.394216
0.050000,10.178236,16.725447,8.722224,1.999721,-0.405123,3.135990,0.350174
0.050000,10.272336,16.757462,8.821621,1.987942,-0.235581,3.390839,0.305613
0.050000,10.367627,16.785199,8.920866,1.984908,-0.060674,3.498143,0.260919
0.050000,10.464331,16.808725,9.020390,1.990488,0.111593,3.445346,0.216471
0.050000,10.562651,16.828088,9.120599,2.004164,0.273524,3.238621,0.172625
0.050000,10.662753,16.843323,9.221853,2.025094,0.418599,2.901501,0.129700
0.050000,10.764358,16.854417,9.324063,2.044185,0.381821,-0.735558,0.088128
0.050000,10.866668,16.861395,9.426610,2.050947,0.135239,-4.931657,0.048427
0.050000,10.968737,16.864412,9.528724,2.042280,-0.173352,-6.171808,0.011020
0.050000,11.096508,16.864583,9.656495,2.555423,10.262875,208.724537,0.000000
0.050000,11.231856,16.864583,9.791843,2.706958,3.030702,-144.643461,0.000000
0.050000,11.362204,16.864583,9.922191,2.606958,-2.000000,-100.614039,0.000000
0.050000,11.487552,16.864583,10.047539,2.506958,-2.000000,0.000000,0.000000
0.050000,11.607900,16.864583,10.167887,2.406958,-2.000000,0.000000,0.000000
0.050000,11.723248,16.864583,10.283235,2.306958,-2.000000,0.000000,0.000000
0.050000,11.833596,16.864583,10.393583,2.206958,-2.000000,0.000000,0.000000
0.050000,11.938944,16.864583,10.498931,2.106958,-2.000000,-0.000000,0.000000
0.050000,12.039292,16.864583,10.599279,2.006958,-2.000000,0.000000,0.000000
0.050000,12.134639,16.864583,10.694627,1.906958,-2.000000,0.000000,0.000000
0.050000,12.224987,16.864583,10.784974,1.806958,-2.000000,-0.000000,0.000000
0.050000,12.310335,16.864583,10.870322,1.706958,-2.000000,-0.000000,0.000000
0.050000,12.390683,16.864583,10.950670,1.606958,-2.000000,0.000000,0.000000
0.050000,12.466031,16.864583,11.026018,1.506958,-2.000000,0.000000,0.000000
0.050000,12.536379,16.864583,11.096366,1.406958,-2.000000,-0.000000,0.000000
0.050000,12.601727,16.864583,11.161714,1.306958,-2.000000,0.000000,0.000000
0.050000,12.662075,16.864583,11.222062,1.206958,-2.000000,-0.000000,0.000000
0.050000,12.717423,16.864583,11.277410,1.106958,-2.000000,0.000000,0.000000
0.050000,12.767771,16.864583,11.327758,1.006958,-2.000000,0.000000,0.000000
0.050000,12.813119,16.864583,11.373106,0.906958,-2.000000,-0.000000,0.000000
0.050000,12.853467,16.864583,11.413454,0.806958,-2.000000,0.000000,0.000000
0.050000,12.888815,16.864583,11.448802,0.706958,-2.000000,-0.000000,0.000000
0.050000,12.919162,16.864583,11.479150,0.606958,-2.000000,0.000000,0.000000
0.050000,12.944510,16.864583,11.504497,0.506958,-2.000000,-0.000000,0.000000
0.050000,12.964858,16.864583,11.524845,0.406958,-2.000000,0.000000,0.000000
0.050000,12.980206,16.864583,11.540193,0.306958,-2.000000,0.000000,0.000000
0.050000,12.990554,16.864583,11.550541,0.206958,-2.000000,-0.000000,0.000000
0.050000,12.996484,16.864583,11.556471,0.118589,-1.767396,4.652075,0.000000
0.050000,12.999201,16.864583,11.559188,0.054349,-1.284792,9.652075,0.000000
0.050000,12.999957,16.864583,11.559944,0.015109,-0.784792,10.000000,0.000000
0.050000,13.000000,16.864583,11.559987,0.000870,-0.284792,10.000000,0.000000
0.050000,13.000000,16.864583,11.559987,0.000000,-0.017396,5.347925,0.000000
