dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,1.004176,14.135416,0.003676,0.147059,2.941176,58.823529,6.282636
0.050000,1.017143,14.135397,0.016644,0.259343,2.245679,-13.909944,6.280929
0.050000,1.038755,14.135318,0.038256,0.432244,3.458021,24.246828,6.278084
0.050000,1.069012,14.135103,0.068513,0.605149,3.458111,0.001813,6.274102
0.050000,1.107912,14.134650,0.107416,0.778053,3.458068,-0.000860,6.268981
0.050000,1.155452,14.133826,0.154963,0.950939,3.457720,-0.006968,6.262722
0.050000,1.211624,14.132469,0.211152,1.123781,3.456843,-0.017532,6.255328
0.050000,1.276418,14.130387,0.275979,1.296539,3.455164,-0.033588,6.246803
0.050000,1.349813,14.127361,0.349437,1.469157,3.452355,-0.056175,6.237152
0.050000,1.431783,14.123142,0.431515,1.641559,3.448040,-0.086302,6.226384
0.050000,1.522287,14.117456,0.522197,1.813649,3.441794,-0.124916,6.214515
0.050000,1.621272,14.110004,0.621462,1.985306,3.433152,-0.172841,6.201562
0.050000,1.728668,14.100460,0.729282,2.156387,3.421617,-0.230712,6.187550
0.050000,1.844386,14.088480,0.845618,2.326721,3.406672,-0.298899,6.172514
0.050000,1.968313,14.073701,0.970423,2.496111,3.387801,-0.377411,6.156494
0.050000,2.100314,14.055747,1.103640,2.664336,3.364512,-0.465793,6.139542
0.050000,2.240228,14.034233,1.245198,2.831154,3.336358,-0.563068,6.121719
0.050000,2.387863,14.008770,1.395013,2.996303,3.302975,-0.667655,6.103100
0.050000,2.543002,13.978969,1.552988,3.159508,3.264108,-0.777347,6.083769
0.050000,2.705399,13.944453,1.719013,3.320490,3.219640,-0.889353,6.063825
0.050000,2.874782,13.904861,1.892962,3.478971,3.169621,-1.000383,6.043378
0.050000,3.050855,13.859852,2.074696,3.634686,3.114280,-1.106820,6.022549
0.050000,3.233301,13.809116,2.264065,3.787387,3.054032,-1.204961,6.001471
0.050000,3.421791,13.752382,2.460908,3.936860,2.989467,-1.291296,5.980288
