dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.290368,11.864583,0.000625,0.025000,0.500000,10.000000,6.283042
0.050000,3.292101,11.864582,0.002358,0.034669,0.193376,-6.132472,6.282367
0.050000,3.296000,11.864576,0.006257,0.077972,0.866058,13.453638,6.280846
0.050000,3.302925,11.864551,0.013182,0.138504,1.210641,6.891656,6.278138
0.050000,3.313299,11.864477,0.023557,0.207488,1.379680,3.380777,6.274064
0.050000,3.327106,11.864314,0.037364,0.276157,1.373386,-0.125869,6.268611
0.050000,3.344324,11.864004,0.054585,0.344419,1.365232,-0.163090,6.261760
0.050000,3.364927,11.863477,0.075195,0.412191,1.355439,-0.195852,6.253489
0.050000,3.388883,11.862649,0.099165,0.479406,1.344312,-0.222557,6.243775
0.050000,3.416156,11.861421,0.126466,0.546019,1.332248,-0.241260,6.232591
0.050000,3.446707,11.859681,0.157067,0.612007,1.319765,-0.249660,6.219908
0.050000,3.480493,11.857299,0.190936,0.677383,1.307513,-0.245045,6.205702
0.050000,3.517467,11.854136,0.228046,0.742198,1.296299,-0.224283,6.189946
0.050000,3.557586,11.850034,0.268373,0.806553,1.287104,-0.183897,6.172620
0.050000,3.600803,11.844823,0.311904,0.870608,1.281096,-0.120165,6.153711
0.050000,3.647077,11.838316,0.358633,0.934589,1.279629,-0.029335,6.133217
0.050000,3.696372,11.830311,0.408573,0.998801,1.284231,0.092028,6.111147
0.050000,3.748657,11.820589,0.461754,1.063629,1.296560,0.246589,6.087528
0.050000,3.803914,11.808914,0.518232,1.129546,1.318342,0.435639,6.062408
0.050000,3.862138,11.795031,0.578087,1.197109,1.351263,0.658427,6.035860
0.050000,3.923335,11.778667,0.641435,1.266951,1.396836,0.911453,6.007985
0.050000,3.987530,11.759526,0.708423,1.339762,1.456232,1.187930,5.978912
0.050000,4.054762,11.737292,0.779236,1.416268,1.530108,1.477502,5.948805
0.050000,4.125085,11.711627,0.854096,1.497189,1.618432,1.766485,5.917858
0.050000,4.198563,11.682176,0.933256,1.583208,1.720367,2.038713,5.886296
0.050000,4.275268,11.648565,1.017002,1.674919,1.834219,2.277040,5.854369
0.050000,4.355276,11.610410,1.105642,1.772793,1.957488,2.465369,5.822349
0.050000,4.438659,11.567325,1.199499,1.877145,2.087032,2.590874,5.790520
0.050000,4.525486,11.518924,1.298904,1.988111,2.219331,2.645993,5.759174
0.050000,4.615813,11.464838,1.404187,2.105652,2.350818,2.629731,5.728601
0.050000,4.709287,11.404988,1.515179,2.219845,2.283870,-1.338965,5.699203
0.050000,4.805129,11.339684,1.631155,2.319517,1.993425,-5.808898,5.671442
0.050000,4.902550,11.269415,1.751274,2.402379,1.657240,-6.723694,5.645678
0.050000,5.000749,11.194842,1.874579,2.466104,1.274497,-7.654865,5.622170
0.050000,5.099331,11.116446,2.000533,2.519075,1.059428,-4.301376,5.600993
0.050000,5.198320,11.034436,2.129080,2.570944,1.037383,-0.440906,5.582101
0.050000,5.297756,10.949033,2.260158,2.621549,1.012102,-0.505611,5.565437
0.050000,5.397695,10.860457,2.393699,2.670831,0.985640,-0.529245,5.550942
0.050000,5.498208,10.768932,2.529640,2.718812,0.959625,-0.520303,5.538560
0.050000,5.599388,10.674679,2.667919,2.765578,0.935314,-0.486214,5.528238
0.050000,5.701343,10.577915,2.808482,2.811261,0.913654,-0.433198,5.519927
0.050000,5.804199,10.478855,2.951283,2.856028,0.895339,-0.366299,5.513587
0.050000,5.908100,10.377709,3.096287,2.900071,0.880864,-0.289509,5.509186
0.050000,6.013207,10.274682,3.243467,2.943599,0.870565,-0.205963,5.506703
0.050000,6.119698,10.169980,3.392808,2.986832,0.864659,-0.118133,5.506123
0.050000,6.227767,10.063804,3.544308,3.029995,0.863257,-0.028034,5.507444
0.050000,6.337626,9.956361,3.697974,3.073314,0.866386,0.062574,5.510672
0.050000,6.449503,9.847857,3.853824,3.117014,0.873985,0.151990,5.515825
0.050000,6.563642,9.738509,4.011890,3.161309,0.885904,0.238378,5.522929
0.050000,6.680303,9.628542,4.172210,3.206403,0.901883,0.319569,5.532019
0.050000,6.799762,9.518197,4.334834,3.252479,0.921526,0.392860,5.543138
0.050000,6.922306,9.407731,4.499819,3.299692,0.944266,0.454807,5.556336
0.050000,7.048237,9.297427,4.667226,3.348158,0.969318,0.501031,5.571670
0.050000,7.177862,9.187598,4.837123,3.397939,0.995620,0.526047,5.589195
0.050000,7.311491,9.078590,5.009575,3.449028,1.021778,0.523166,5.608972
0.050000,7.449433,8.970793,5.184641,3.501328,1.046005,0.484526,5.631052
0.050000,7.591982,8.864640,5.362373,3.554632,1.066071,0.401324,5.655480
0.050000,7.739407,8.760618,5.542803,3.608596,1.079290,0.264381,5.682285
0.050000,7.891942,8.659266,5.725939,3.662724,1.082546,0.065127,5.711475
0.050000,8.049723,8.561202,5.911712,3.715455,1.054632,-0.558281,5.743019
0.050000,8.212118,8.467470,6.099216,3.750088,0.692657,-7.239506,5.776703
0.050000,8.377636,8.379413,6.286700,3.749673,-0.008302,-14.019178,5.812084
0.050000,8.544507,8.298195,6.472287,3.711737,-0.758723,-15.008408,5.848609
0.050000,8.710754,8.224720,6.654046,3.635184,-1.531052,-15.446590,5.885648
0.050000,8.874961,8.159306,6.830803,3.535150,-2.000687,-9.392704,5.922685
0.050000,9.036380,8.101803,7.002158,3.427103,-2.160934,-3.204939,5.959367
0.050000,9.194280,8.051944,7.167743,3.311688,-2.308305,-2.947406,5.995370
0.050000,9.347976,8.009355,7.327231,3.189760,-2.438571,-2.605331,6.030406
0.050000,9.496852,7.973572,7.480346,3.062313,-2.548934,-2.207249,6.064233
0.050000,9.640371,7.944070,7.626867,2.930407,-2.638117,-1.783661,6.096655
0.050000,9.778086,7.920276,7.766621,2.795094,-2.706254,-1.362750,6.127520
0.050000,9.909634,7.901597,7.899490,2.657363,-2.754625,-0.967424,6.156723
0.050000,10.034740,7.887437,8.025395,2.518097,-2.785316,-0.613810,6.184196
0.050000,10.153202,7.877210,8.144297,2.378053,-2.800877,-0.311232,6.209906
0.050000,10.264885,7.870357,8.256190,2.237852,-2.804030,-0.063052,6.233844
0.050000,10.369707,7.866348,8.361089,2.097980,-2.797436,0.131874,6.256026
0.050000,10.467633,7.864692,8.459029,1.958803,-2.783548,0.277775,6.276483
0.050000,10.544953,7.864583,8.536349,1.546399,-8.248079,-109.290626,0.000000
0.050000,10.609668,7.864583,8.601064,1.294303,-5.041920,64.123171,0.000000
0.050000,10.669384,7.864583,8.660779,1.194303,-2.000000,60.838406,0.000000
0.050000,10.724099,7.864583,8.715494,1.094303,-2.000000,0.000000,0.000000
0.050000,10.773814,7.864583,8.765209,0.994303,-2.000000,0.000000,0.000000
0.050000,10.818529,7.864583,8.809925,0.894303,-2.000000,-0.000000,0.000000
0.050000,10.858244,7.864583,8.849640,0.794303,-2.000000,-0.000000,0.000000
0.050000,10.892959,7.864583,8.884355,0.694303,-2.000000,-0.000000,0.000000
0.050000,10.922674,7.864583,8.914070,0.594303,-2.000000,0.000000,0.000000
0.050000,10.947389,7.864583,8.938785,0.494303,-2.000000,0.000000,0.000000
0.050000,10.967105,7.864583,8.958500,0.394303,-2.000000,-0.000000,0.000000
0.050000,10.981820,7.864583,8.973215,0.294303,-2.000000,0.000000,0.000000
0.050000,10.991570,7.864583,8.982966,0.195015,-1.985757,0.284864,0.000000
0.050000,10.997017,7.864583,8.988413,0.108939,-1.721514,5.284864,0.000000
0.050000,10.999411,7.864583,8.990806,0.047864,-1.221514,10.000000,0.000000
0.050000,11.000000,7.864583,8.991396,0.011788,-0.721514,10.000000,0.000000
0.050000,11.000000,7.864583,8.991396,0.000000,-0.235757,9.715136,0.000000
