dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.290709,5.635417,0.000625,0.025000,0.500000,10.000000,6.283044
0.050000,3.293938,5.635415,0.003854,0.064584,0.791686,5.833712,6.282402
0.050000,3.301204,5.635404,0.011120,0.145318,1.614671,16.459711,6.280957
0.050000,3.314121,5.635359,0.024038,0.258353,2.260701,12.920605,6.278387
0.050000,3.333498,5.635228,0.043415,0.387550,2.583943,6.464833,6.274532
0.050000,3.359335,5.634938,0.069253,0.516762,2.584247,0.006082,6.269390
0.050000,3.391629,5.634389,0.101552,0.645979,2.584329,0.001641,6.262962
0.050000,3.430377,5.633456,0.140311,0.775174,2.583907,-0.008437,6.255247
0.050000,3.475568,5.631989,0.185526,0.904306,2.582625,-0.025640,6.246250
0.050000,3.527188,5.629816,0.237192,1.033308,2.580051,-0.051485,6.235976
0.050000,3.585211,5.626739,0.295296,1.162092,2.575678,-0.087462,6.224434
0.050000,3.649601,5.622538,0.359823,1.290538,2.568928,-0.134993,6.211639
0.050000,3.720307,5.616972,0.430748,1.418497,2.559162,-0.195325,6.197613
0.050000,3.797261,5.609780,0.508037,1.545781,2.545690,-0.269440,6.182385
0.050000,3.880373,5.600684,0.591646,1.672171,2.527795,-0.357909,6.165995
0.050000,3.969531,5.589395,0.681516,1.797409,2.504758,-0.460733,6.148494
0.050000,4.064598,5.575612,0.777576,1.921204,2.475898,-0.577198,6.129944
0.050000,4.165405,5.559031,0.879738,2.043234,2.440612,-0.705721,6.110424
0.050000,4.271757,5.539350,0.987896,2.163155,2.398424,-0.843768,6.090027
0.050000,4.383428,5.516274,1.101926,2.280607,2.349033,-0.987813,6.068861
0.050000,4.500163,5.489524,1.221687,2.395225,2.292362,-1.133430,6.047050
0.050000,4.621682,5.458839,1.347020,2.506654,2.228587,-1.275484,6.024737
0.050000,4.747680,5.423991,1.477748,2.614563,2.158164,-1.408472,6.002075
0.050000,4.877835,5.384783,1.613681,2.718653,2.081816,-1.526966,5.979232
0.050000,5.011815,5.341059,1.754615,2.818679,2.000509,-1.626127,5.956389
0.050000,5.149282,5.292708,1.900337,2.914449,1.915398,-1.702232,5.933731
0.050000,5.289903,5.239668,2.050629,3.005836,1.827741,-1.753133,5.911453
0.050000,5.433356,5.181923,2.205268,3.092776,1.738812,-1.778571,5.889750
0.050000,5.579337,5.119511,2.364031,3.175266,1.649797,-1.780310,5.868819
0.050000,5.727569,5.052517,2.526699,3.253351,1.561695,-1.762045,5.848852
0.050000,5.877163,4.981388,2.692342,3.312865,1.190274,-7.428416,5.830118
0.050000,6.026696,4.906965,2.859372,3.340607,0.554838,-12.708710,5.812915
0.050000,6.174889,4.830164,3.026283,3.338223,-0.047675,-12.050272,5.797469
0.050000,6.320592,4.751954,3.191651,3.307345,-0.617554,-11.397572,5.783934
0.050000,6.463364,4.672992,3.354803,3.263040,-0.886103,-5.370976,5.772350
0.050000,6.603389,4.593596,3.515771,3.219373,-0.873335,0.255356,5.762688
0.050000,6.740853,4.514060,3.674587,3.176304,-0.861377,0.239164,5.754924
0.050000,6.875937,4.434666,3.831275,3.133758,-0.850927,0.208996,5.749034
0.050000,7.008815,4.355679,3.985856,3.091632,-0.842514,0.168266,5.744999
0.050000,7.139651,4.277352,4.138346,3.049807,-0.836516,0.119949,5.742805
0.050000,7.268602,4.199931,4.288754,3.008147,-0.833183,0.066654,5.742446
0.050000,7.395810,4.123651,4.437080,2.966515,-0.832647,0.010729,5.743921
0.050000,7.521408,4.048745,4.583318,2.924769,-0.834928,-0.045624,5.747234
0.050000,7.645514,3.975440,4.727457,2.882772,-0.839940,-0.100229,5.752396
0.050000,7.768233,3.903958,4.869477,2.840398,-0.847480,-0.150809,5.759424
0.050000,7.889657,3.834520,5.009353,2.797537,-0.857223,-0.194869,5.768340
0.050000,8.009865,3.767342,5.147058,2.754101,-0.868703,-0.229586,5.779167
0.050000,8.128921,3.702639,5.282560,2.710037,-0.881289,-0.251722,5.791936
0.050000,8.246876,3.640620,5.415827,2.665329,-0.894167,-0.257568,5.806672
0.050000,8.363771,3.581485,5.546827,2.620013,-0.906315,-0.242946,5.823404
0.050000,8.479633,3.525431,5.675537,2.574189,-0.916479,-0.203292,5.842154
0.050000,8.594483,3.472641,5.801938,2.528030,-0.923172,-0.133859,5.862936
0.050000,8.708336,3.423287,5.926028,2.481797,-0.924676,-0.030073,5.885754
0.050000,8.821203,3.377522,6.047820,2.435843,-0.919079,0.111930,5.910595
0.050000,8.933098,3.335484,6.167352,2.390625,-0.904350,0.294578,5.937426
0.050000,9.044041,3.297287,6.284687,2.346703,-0.878452,0.517973,5.966192
0.050000,9.154067,3.263025,6.399923,2.304727,-0.839505,0.778932,5.996805
0.050000,9.263223,3.232769,6.513194,2.265427,-0.785998,1.070137,6.029149
0.050000,9.371579,3.206569,6.624673,2.229576,-0.717018,1.379609,6.063071
0.050000,9.479229,3.184456,6.734571,2.197953,-0.632478,1.690802,6.098386
0.050000,9.586288,3.166444,6.843135,2.171288,-0.533301,1.983532,6.134874
0.050000,9.692896,3.152540,6.950646,2.150212,-0.421510,2.235829,6.172291
0.050000,9.799206,3.142740,7.057406,2.135203,-0.300181,2.426577,6.210368
0.050000,9.905380,3.137042,7.163733,2.126540,-0.173256,2.538492,6.248826
0.050000,10.013851,3.135431,7.272216,2.169663,0.862457,20.714265,0.002110
0.050000,10.140948,3.136965,7.399322,2.542117,7.449080,131.732452,0.022272
0.050000,10.266511,3.141094,7.524953,2.512627,-0.589792,-160.777438,0.043732
0.050000,10.390359,3.147914,7.648989,2.480719,-0.638170,-0.967549,0.066597
0.050000,10.512293,3.157521,7.771301,2.446238,-0.689618,-1.028958,0.090980
0.050000,10.632098,3.170004,7.891754,2.409052,-0.743715,-1.081954,0.117001
0.050000,10.749541,3.185441,8.010207,2.369065,-0.799737,-1.120427,0.144782
0.050000,10.864378,3.203904,8.126519,2.326238,-0.856547,-1.136208,0.174448
0.050000,10.976355,3.225446,8.240550,2.280614,-0.912485,-1.118768,0.206123
0.050000,11.085214,3.250107,8.352167,2.232352,-0.965238,-1.055053,0.239923
0.050000,11.190701,3.277906,8.461256,2.181766,-1.011719,-0.929629,0.275950
0.050000,11.292575,3.308845,8.567724,2.129366,-1.047996,-0.725526,0.314284
0.050000,11.390623,3.342905,8.671519,2.075902,-1.069287,-0.425824,0.354972
0.050000,11.484671,3.380056,8.772639,2.022396,-1.070117,-0.016607,0.398016
0.050000,11.574601,3.420260,8.871147,1.970162,-1.044671,0.508935,0.443359
0.050000,11.660364,3.463485,8.967187,1.920792,-0.987406,1.145291,0.490876
0.050000,11.741984,3.509717,9.060991,1.876096,-0.893933,1.869468,0.540361
0.050000,11.819565,3.558979,9.152891,1.837993,-0.762056,2.637533,0.591523
0.050000,11.893280,3.611338,9.243309,1.808353,-0.592796,3.385193,0.643990
