dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,3.290389,3.364583,0.000625,0.025000,0.500000,10.000000,6.283044
0.050000,3.292159,3.364583,0.002396,0.035416,0.208314,-5.833713,6.282402
0.050000,3.296143,3.364577,0.006380,0.079682,0.885329,13.540283,6.280957
0.050000,3.303226,3.364552,0.013462,0.141647,1.239297,7.079364,6.278387
0.050000,3.313848,3.364480,0.024085,0.212450,1.416052,3.535099,6.274532
0.050000,3.328009,3.364321,0.038247,0.283237,1.415743,-0.006182,6.269390
0.050000,3.345707,3.364020,0.055948,0.354019,1.415654,-0.001772,6.262962
0.050000,3.366942,3.363509,0.077189,0.424823,1.416068,0.008271,6.255247
0.050000,3.391714,3.362705,0.101973,0.495690,1.417340,0.025443,6.246250
0.050000,3.420023,3.361513,0.130307,0.566685,1.419903,0.051257,6.235976
0.050000,3.451873,3.359824,0.162202,0.637898,1.424263,0.087208,6.224434
0.050000,3.487270,3.357515,0.197675,0.709448,1.430999,0.134712,6.211639
0.050000,3.526224,3.354448,0.236749,0.781485,1.440750,0.195028,6.197613
0.050000,3.568748,3.350473,0.279459,0.854196,1.454207,0.269136,6.182385
0.050000,3.614863,3.345426,0.325849,0.927800,1.472087,0.357605,6.165995
0.050000,3.664594,3.339129,0.375977,1.002556,1.495109,0.460445,6.148494
0.050000,3.717973,3.331389,0.429914,1.078753,1.523956,0.576940,6.129944
0.050000,3.775042,3.322002,0.487750,1.156715,1.559232,0.705514,6.110424
0.050000,3.835849,3.310748,0.549589,1.236786,1.601413,0.843630,6.090027
0.050000,3.900450,3.297397,0.615556,1.319326,1.650802,0.987765,6.068861
0.050000,3.968910,3.281707,0.685791,1.404700,1.707476,1.133487,6.047050
0.050000,4.041300,3.263426,0.760454,1.493263,1.771259,1.275663,6.024737
0.050000,4.117699,3.242292,0.839721,1.585347,1.841698,1.408783,6.002075
0.050000,4.198187,3.218042,0.923784,1.681251,1.918069,1.527409,5.979232
0.050000,4.282853,3.190408,1.012845,1.781221,1.999404,1.626697,5.956389
0.050000,4.371783,3.159125,1.107117,1.885449,2.084549,1.702914,5.933731
0.050000,4.465069,3.123933,1.206820,1.994061,2.172245,1.753903,5.911453
0.050000,4.562802,3.084587,1.312176,2.107121,2.261215,1.779400,5.889750
0.050000,4.665076,3.040855,1.423408,2.224635,2.350273,1.781161,5.868819
0.050000,4.771989,2.992529,1.540736,2.346556,2.438417,1.762880,5.848852
0.050000,4.883162,2.939662,1.663838,2.462051,2.309898,-2.570380,5.830118
0.050000,4.997721,2.882639,1.791804,2.559321,1.945396,-7.290040,5.812915
0.050000,5.114769,2.821973,1.923640,2.636718,1.547942,-7.949065,5.797469
0.050000,5.233389,2.758296,2.058271,2.692609,1.117826,-8.602331,5.783934
0.050000,5.353139,2.692062,2.195117,2.736926,0.886348,-4.629561,5.772350
0.050000,5.474078,2.623484,2.334147,2.780603,0.873539,-0.256172,5.762688
0.050000,5.596280,2.552776,2.475331,2.823680,0.861542,-0.239945,5.754924
0.050000,5.719831,2.480158,2.618643,2.866233,0.851055,-0.209742,5.749034
0.050000,5.844831,2.405852,2.764061,2.908363,0.842606,-0.168983,5.744999
0.050000,5.971394,2.330083,2.911571,2.950192,0.836573,-0.120643,5.742805
0.050000,6.099646,2.253080,3.061163,2.991852,0.833207,-0.067333,5.742446
0.050000,6.229726,2.175079,3.212837,3.033484,0.832637,-0.011402,5.743921
0.050000,6.361786,2.096321,3.366599,3.075229,0.834884,0.044949,5.747234
0.050000,6.495986,2.017055,3.522460,3.117222,0.839861,0.099542,5.752396
0.050000,6.632497,1.937543,3.680439,3.159590,0.847366,0.150102,5.759424
0.050000,6.771498,1.858057,3.840562,3.202444,0.857073,0.194134,5.768340
0.050000,6.913172,1.778889,4.002855,3.245869,0.868514,0.228819,5.779167
0.050000,7.057705,1.700346,4.167351,3.289922,0.881060,0.250920,5.791936
0.050000,7.205283,1.622757,4.334082,3.334617,0.893897,0.256732,5.806672
0.050000,7.356085,1.546479,4.503078,3.379917,0.906001,0.242081,5.823404
0.050000,7.510277,1.471890,4.674364,3.425723,0.916121,0.202412,5.842154
0.050000,7.668011,1.399400,4.847957,3.471862,0.922770,0.132983,5.862936
0.050000,7.829407,1.329446,5.023861,3.518073,0.924232,0.029232,5.885754
0.050000,7.994552,1.262497,5.202061,3.564003,0.918597,-0.112698,5.910595
